Unit,Time,Event,CensoringType,TimeUnit,Batch,FailureMode
U1,1,1,exact,hours,B1,wear
U2,2,1,exact,hours,B1,wear
U3,3,1,exact,hours,B1,wear
U4,4,1,exact,hours,B1,wear
U5,5,1,exact,hours,B1,wear
U6,6,1,exact,hours,B1,wear
U7,7,1,exact,hours,B1,wear
U8,8,1,exact,hours,B1,wear
U9,9,1,exact,hours,B1,wear
U10,10,1,exact,hours,B1,wear
U11,11,1,exact,hours,B1,wear
U12,12,1,exact,hours,B1,wear
U13,13,1,exact,hours,B1,wear
U14,14,1,exact,hours,B1,wear
U15,15,1,exact,hours,B1,wear
U16,16,1,exact,hours,B1,wear
U17,17,1,exact,hours,B1,wear
U18,18,1,exact,hours,B1,wear
U19,19,1,exact,hours,B1,wear
U20,20,1,exact,hours,B1,wear
U21,21,1,exact,hours,B1,wear
U22,22,1,exact,hours,B1,wear
U23,23,1,exact,hours,B1,wear
U24,24,1,exact,hours,B1,wear
U25,25,1,exact,hours,B1,wear
U26,26,1,exact,hours,B1,wear
U27,27,1,exact,hours,B1,wear
U28,28,1,exact,hours,B1,wear
U29,29,1,exact,hours,B1,wear
U30,30,1,exact,hours,B1,wear
U31,31,1,exact,hours,B1,wear
U32,32,1,exact,hours,B1,wear
U33,33,1,exact,hours,B1,wear
U34,34,1,exact,hours,B1,wear
U35,35,1,exact,hours,B1,wear
U36,36,1,exact,hours,B1,wear
U37,37,1,exact,hours,B1,wear
U38,38,1,exact,hours,B1,wear
U39,39,1,exact,hours,B1,wear
U40,40,1,exact,hours,B1,wear
U41,41,1,exact,hours,B1,wear
U42,42,1,exact,hours,B1,wear
U43,43,1,exact,hours,B1,wear
U44,44,1,exact,hours,B1,wear
U45,45,1,exact,hours,B1,wear
U46,46,1,exact,hours,B1,wear
U47,47,1,exact,hours,B1,wear
U48,48,1,exact,hours,B1,wear
U49,49,1,exact,hours,B1,wear
U50,50,1,exact,hours,B1,wear
U51,51,1,exact,hours,B1,wear
U52,52,1,exact,hours,B1,wear
U53,53,1,exact,hours,B1,wear
U54,54,1,exact,hours,B1,wear
U55,55,1,exact,hours,B1,wear
