模腔尺寸_mm,模腔,材料批次,机台号
10.0258,1,M1,IM-03
9.9949,1,M2,IM-03
9.9680,1,M3,IM-03
9.9913,1,M4,IM-03
10.0248,1,M5,IM-03
10.0093,1,M1,IM-03
9.9609,1,M2,IM-03
9.9993,1,M3,IM-03
10.0280,1,M4,IM-03
10.0425,1,M5,IM-03
10.0112,1,M1,IM-03
10.0062,1,M2,IM-03
9.9752,1,M3,IM-03
9.9831,1,M4,IM-03
10.0009,1,M5,IM-03
10.0101,1,M1,IM-03
10.0116,1,M2,IM-03
9.9904,1,M3,IM-03
9.9770,1,M4,IM-03
9.9844,1,M5,IM-03
9.9769,1,M1,IM-03
10.0129,1,M2,IM-03
9.9538,1,M3,IM-03
9.9933,1,M4,IM-03
10.0090,1,M5,IM-03
10.0304,1,M1,IM-03
10.0014,1,M2,IM-03
10.0200,1,M3,IM-03
9.9920,1,M4,IM-03
9.9851,1,M5,IM-03
10.0165,2,M1,IM-03
10.0605,2,M2,IM-03
10.0499,2,M3,IM-03
10.0397,2,M4,IM-03
10.0966,2,M5,IM-03
10.0294,2,M1,IM-03
10.0424,2,M2,IM-03
10.0362,2,M3,IM-03
10.0256,2,M4,IM-03
10.0763,2,M5,IM-03
10.0601,2,M1,IM-03
10.0020,2,M2,IM-03
10.0220,2,M3,IM-03
10.0386,2,M4,IM-03
10.0457,2,M5,IM-03
10.0030,2,M1,IM-03
9.9849,2,M2,IM-03
9.9919,2,M3,IM-03
10.0286,2,M4,IM-03
10.0279,2,M5,IM-03
10.0369,2,M1,IM-03
10.0146,2,M2,IM-03
10.0055,2,M3,IM-03
9.9895,2,M4,IM-03
10.0366,2,M5,IM-03
10.0374,2,M1,IM-03
10.0499,2,M2,IM-03
10.0458,2,M3,IM-03
10.0262,2,M4,IM-03
10.0570,2,M5,IM-03
9.9773,3,M1,IM-03
9.9668,3,M2,IM-03
9.9696,3,M3,IM-03
9.9683,3,M4,IM-03
9.9367,3,M5,IM-03
9.9831,3,M1,IM-03
9.9850,3,M2,IM-03
9.9728,3,M3,IM-03
9.9657,3,M4,IM-03
9.9874,3,M5,IM-03
10.0143,3,M1,IM-03
9.9808,3,M2,IM-03
9.9698,3,M3,IM-03
9.9682,3,M4,IM-03
9.9786,3,M5,IM-03
9.9547,3,M1,IM-03
9.9775,3,M2,IM-03
9.9812,3,M3,IM-03
10.0169,3,M4,IM-03
9.9989,3,M5,IM-03
10.0007,3,M1,IM-03
9.9657,3,M2,IM-03
9.9934,3,M3,IM-03
9.9572,3,M4,IM-03
9.9862,3,M5,IM-03
9.9884,3,M1,IM-03
9.9647,3,M2,IM-03
10.0200,3,M3,IM-03
9.9913,3,M4,IM-03
9.9419,3,M5,IM-03
