厚度_um,腔位,备注
100.88,1,基线
101.81,1,基线
100.27,1,基线
98.91,1,基线
99.07,1,基线
99.22,1,基线
99.55,1,基线
99.56,1,基线
99.98,1,基线
99.56,1,基线
99.13,1,基线
98.12,1,基线
101.48,1,基线
99.47,1,基线
99.54,1,基线
99.68,2,基线
99.97,2,基线
99.40,2,基线
101.15,2,基线
99.66,2,基线
99.96,2,基线
99.97,2,基线
97.84,2,基线
100.19,2,基线
99.13,2,基线
100.00,2,基线
98.34,2,基线
101.24,2,基线
101.01,2,基线
100.34,2,基线
99.00,3,腔3偏低
97.91,3,腔3偏低
98.33,3,腔3偏低
98.83,3,腔3偏低
98.37,3,腔3偏低
99.07,3,腔3偏低
97.89,3,腔3偏低
97.49,3,腔3偏低
97.96,3,腔3偏低
99.15,3,腔3偏低
99.62,3,腔3偏低
96.65,3,腔3偏低
96.66,3,腔3偏低
96.33,3,腔3偏低
97.37,3,腔3偏低
