厚度_um,腔位,班次,备注
99.06,左,早班,基线
99.40,左,早班,基线
100.77,左,早班,基线
99.84,左,早班,基线
98.72,左,早班,基线
99.71,左,早班,基线
100.49,左,早班,基线
100.24,左,早班,基线
100.25,中,早班,基线
100.60,中,早班,基线
99.39,中,早班,基线
100.78,中,早班,基线
98.90,中,早班,基线
100.84,中,早班,基线
98.88,中,早班,基线
99.45,中,早班,基线
100.44,右,早班,基线
99.36,右,早班,基线
100.32,右,早班,基线
100.34,右,早班,基线
99.72,右,早班,基线
98.67,右,早班,基线
99.88,右,早班,基线
99.81,右,早班,基线
103.26,左,晚班,晚班抬高
101.73,左,晚班,晚班抬高
100.69,左,晚班,晚班抬高
100.81,左,晚班,晚班抬高
102.13,左,晚班,晚班抬高
100.54,左,晚班,晚班抬高
101.63,左,晚班,晚班抬高
101.51,左,晚班,晚班抬高
101.40,中,晚班,晚班抬高
101.00,中,晚班,晚班抬高
102.22,中,晚班,晚班抬高
101.74,中,晚班,晚班抬高
101.84,中,晚班,晚班抬高
102.06,中,晚班,晚班抬高
101.58,中,晚班,晚班抬高
100.99,中,晚班,晚班抬高
102.48,右,晚班,晚班抬高
101.57,右,晚班,晚班抬高
101.90,右,晚班,晚班抬高
102.06,右,晚班,晚班抬高
102.87,右,晚班,晚班抬高
99.94,右,晚班,晚班抬高
101.71,右,晚班,晚班抬高
100.66,右,晚班,晚班抬高
