子组,厚度_um,备注
1,100.60,基线
1,100.03,基线
1,99.88,基线
1,98.66,基线
1,101.49,基线
2,98.86,基线
2,100.22,基线
2,100.50,基线
2,99.00,基线
2,99.83,基线
3,100.40,基线
3,101.08,基线
3,99.84,基线
3,101.04,基线
3,99.63,基线
4,99.53,基线
4,99.05,基线
4,100.49,基线
4,99.44,基线
4,99.81,基线
5,100.60,基线
5,99.76,基线
5,99.87,基线
5,100.29,基线
5,101.02,基线
6,99.66,基线
6,99.58,基线
6,99.28,基线
6,100.04,基线
6,100.11,基线
7,98.80,基线
7,99.53,基线
7,100.31,基线
7,99.98,基线
7,100.24,基线
8,100.11,基线
8,100.66,基线
8,100.96,基线
8,99.42,基线
8,98.86,基线
9,99.68,基线
9,100.28,基线
9,101.56,基线
9,98.28,基线
9,100.18,基线
10,100.16,基线
10,100.48,基线
10,100.39,基线
10,99.41,基线
10,99.10,基线
11,100.08,基线
11,100.42,基线
11,98.10,基线
11,99.56,基线
11,100.24,基线
12,101.98,组间台阶
12,102.15,组间台阶
12,102.13,组间台阶
12,101.26,组间台阶
12,101.79,组间台阶
13,101.96,组间台阶
13,101.37,组间台阶
13,102.68,组间台阶
13,101.00,组间台阶
13,101.61,组间台阶
14,103.59,组间台阶
14,101.95,组间台阶
14,101.96,组间台阶
14,102.01,组间台阶
14,100.98,组间台阶
15,101.82,组间台阶
15,101.10,组间台阶
15,101.09,组间台阶
15,102.68,组间台阶
15,101.87,组间台阶
16,101.84,组间台阶
16,101.31,组间台阶
16,102.35,组间台阶
16,101.77,组间台阶
16,103.01,组间台阶
17,102.04,组间台阶
17,103.63,组间台阶
17,101.70,组间台阶
17,101.65,组间台阶
17,101.74,组间台阶
18,102.35,组间台阶
18,101.29,组间台阶
18,102.00,组间台阶
18,102.03,组间台阶
18,102.56,组间台阶
19,101.12,组间台阶
19,103.79,组间台阶
19,103.08,组间台阶
19,103.44,组间台阶
19,101.99,组间台阶
20,102.67,组间台阶
20,102.74,组间台阶
20,102.47,组间台阶
20,102.80,组间台阶
20,101.39,组间台阶
