片号,厚度_um,备注
1,99.58,稳定略偏心
2,101.91,稳定略偏心
3,99.94,稳定略偏心
4,100.91,稳定略偏心
5,101.57,稳定略偏心
6,100.51,稳定略偏心
7,102.51,稳定略偏心
8,101.00,稳定略偏心
9,102.66,稳定略偏心
10,102.25,稳定略偏心
11,101.60,稳定略偏心
12,104.13,稳定略偏心
13,100.90,稳定略偏心
14,100.52,稳定略偏心
15,102.14,稳定略偏心
16,100.98,稳定略偏心
17,101.32,稳定略偏心
18,101.16,稳定略偏心
19,100.74,稳定略偏心
20,102.67,稳定略偏心
21,101.03,稳定略偏心
22,102.18,稳定略偏心
23,102.39,稳定略偏心
24,102.11,稳定略偏心
25,101.74,稳定略偏心
26,100.43,稳定略偏心
27,100.56,稳定略偏心
28,100.00,稳定略偏心
29,100.07,稳定略偏心
30,97.78,稳定略偏心
31,100.18,稳定略偏心
32,100.95,稳定略偏心
33,99.48,稳定略偏心
34,101.44,稳定略偏心
35,104.36,稳定略偏心
36,101.17,稳定略偏心
37,101.04,稳定略偏心
38,101.66,稳定略偏心
39,101.91,稳定略偏心
40,100.96,稳定略偏心
41,100.94,稳定略偏心
42,100.64,稳定略偏心
43,99.43,稳定略偏心
44,101.18,稳定略偏心
45,102.19,稳定略偏心
46,100.90,稳定略偏心
47,99.42,稳定略偏心
48,102.11,稳定略偏心
49,100.68,稳定略偏心
50,101.14,稳定略偏心
51,100.77,稳定略偏心
52,101.89,稳定略偏心
53,101.28,稳定略偏心
54,99.61,稳定略偏心
55,102.31,稳定略偏心
56,101.87,稳定略偏心
57,101.50,稳定略偏心
58,99.12,稳定略偏心
59,100.96,稳定略偏心
60,99.77,稳定略偏心
61,98.50,稳定略偏心
62,101.44,稳定略偏心
63,100.37,稳定略偏心
64,101.38,稳定略偏心
65,100.86,稳定略偏心
66,102.21,稳定略偏心
67,100.47,稳定略偏心
68,101.69,稳定略偏心
69,99.65,稳定略偏心
70,102.73,稳定略偏心
71,101.53,稳定略偏心
72,101.68,稳定略偏心
73,101.30,稳定略偏心
74,101.87,稳定略偏心
75,103.27,稳定略偏心
76,100.99,稳定略偏心
77,101.23,稳定略偏心
78,101.14,稳定略偏心
79,100.36,稳定略偏心
80,99.63,稳定略偏心
