炉温_℃,焊点偏移_um,链速_mm_min,产品型号,轨道号
237.4,0.58,243.4,X1,T1
236.7,1.13,246.5,X2,T2
234.4,-0.59,246.7,X1,T3
237.2,-0.15,246.9,X2,T1
236.9,0.48,245.9,X1,T2
234.0,-0.33,246.7,X2,T3
236.8,1.71,244.1,X1,T1
236.7,-1.39,243.4,X2,T2
237.2,0.87,246.3,X1,T3
234.8,-0.70,244.2,X2,T1
236.8,0.30,243.8,X1,T2
234.0,0.11,246.5,X2,T3
237.8,0.11,244.6,X1,T1
237.9,2.12,245.1,X2,T2
237.6,2.78,243.7,X1,T3
237.8,2.53,244.1,X2,T1
232.7,-2.13,244.3,X1,T2
235.6,0.87,245.0,X2,T3
234.3,-0.92,245.8,X1,T1
232.0,-0.87,246.7,X2,T2
235.2,-0.34,245.7,X1,T3
234.2,-2.06,243.3,X2,T1
236.0,-0.36,246.4,X1,T2
236.3,1.11,244.2,X2,T3
233.9,-1.19,244.2,X1,T1
232.8,0.33,244.7,X2,T2
237.6,-0.75,245.5,X1,T3
233.8,-2.50,245.2,X2,T1
232.0,-0.74,245.3,X1,T2
235.9,1.38,244.9,X2,T3
234.7,0.26,246.6,X1,T1
236.8,1.59,243.7,X2,T2
232.5,-2.06,244.3,X1,T3
236.9,0.12,246.0,X2,T1
236.0,0.28,243.1,X1,T2
233.5,0.56,244.9,X2,T3
237.1,1.43,245.5,X1,T1
233.2,0.27,245.8,X2,T2
235.0,0.06,243.0,X1,T3
236.5,1.98,246.1,X2,T1
232.6,-1.02,246.8,X1,T2
235.1,0.35,243.2,X2,T3
233.5,0.54,246.2,X1,T1
236.0,-0.93,247.0,X2,T2
235.6,2.49,245.5,X1,T3
236.3,-0.58,245.0,X2,T1
237.0,-2.15,246.0,X1,T2
234.8,-0.78,244.0,X2,T3
233.5,-1.55,245.1,X1,T1
235.8,-1.44,244.1,X2,T2
232.5,-0.59,244.3,X1,T3
235.2,0.97,243.6,X2,T1
233.4,-0.89,243.3,X1,T2
234.4,-1.85,245.2,X2,T3
234.5,0.26,246.6,X1,T1
