序号,炉温_C,偏移_um,备注
1,235.6,2.69,正相关
2,236.6,2.44,正相关
3,238.6,4.61,正相关
4,231.5,3.10,正相关
5,241.9,6.74,正相关
6,243.6,8.18,正相关
7,239.5,2.59,正相关
8,250.6,7.71,正相关
9,241.6,5.30,正相关
10,236.9,4.68,正相关
11,240.1,6.24,正相关
12,224.6,-0.51,正相关
13,237.0,4.97,正相关
14,241.7,5.38,正相关
15,241.9,5.70,正相关
16,242.8,3.99,正相关
17,235.4,2.93,正相关
18,239.6,4.21,正相关
19,248.6,3.11,正相关
20,241.4,4.84,正相关
21,238.3,5.38,正相关
22,251.3,7.97,正相关
23,234.3,3.53,正相关
24,251.5,9.88,正相关
25,239.7,6.60,正相关
26,230.3,1.15,正相关
27,242.6,5.84,正相关
28,245.5,8.35,正相关
29,257.3,11.17,正相关
30,259.8,14.06,正相关
31,239.6,2.61,正相关
32,241.8,6.10,正相关
33,247.9,7.73,正相关
34,242.6,5.75,正相关
35,229.2,0.93,正相关
36,240.0,3.98,正相关
37,229.2,3.27,正相关
38,245.2,6.80,正相关
39,235.3,3.86,正相关
40,242.1,10.89,轻微离群
41,239.0,6.95,轻微离群
42,238.8,9.21,轻微离群
43,241.0,3.79,正相关
44,248.2,6.23,正相关
45,238.4,3.05,正相关
