片号,厚度_um,备注
1,101.00,单峰稳定
2,102.41,单峰稳定
3,98.89,单峰稳定
4,101.42,单峰稳定
5,99.88,单峰稳定
6,101.06,单峰稳定
7,101.41,单峰稳定
8,98.31,单峰稳定
9,100.81,单峰稳定
10,99.31,单峰稳定
11,100.59,单峰稳定
12,101.14,单峰稳定
13,100.29,单峰稳定
14,100.18,单峰稳定
15,100.00,单峰稳定
16,101.40,单峰稳定
17,99.55,单峰稳定
18,98.96,单峰稳定
19,99.21,单峰稳定
20,99.33,单峰稳定
21,100.95,单峰稳定
22,99.40,单峰稳定
23,99.29,单峰稳定
24,99.73,单峰稳定
25,98.62,单峰稳定
26,100.99,单峰稳定
27,99.20,单峰稳定
28,99.96,单峰稳定
29,100.89,单峰稳定
30,102.23,单峰稳定
31,99.16,单峰稳定
32,100.32,单峰稳定
33,98.44,单峰稳定
34,99.97,单峰稳定
35,99.23,单峰稳定
36,100.09,单峰稳定
37,99.76,单峰稳定
38,100.34,单峰稳定
39,98.86,单峰稳定
40,99.42,单峰稳定
41,100.43,单峰稳定
42,99.36,单峰稳定
43,101.12,单峰稳定
44,101.71,单峰稳定
45,100.13,单峰稳定
46,99.33,单峰稳定
47,99.51,单峰稳定
48,99.93,单峰稳定
49,99.63,单峰稳定
50,98.92,单峰稳定
51,102.20,单峰稳定
52,101.69,单峰稳定
53,98.73,单峰稳定
54,97.48,单峰稳定
55,99.15,单峰稳定
56,102.13,单峰稳定
57,99.42,单峰稳定
58,99.47,单峰稳定
59,98.74,单峰稳定
60,99.35,单峰稳定
