序号,测量值,备注
1,66.955,候选分布
2,141.234,候选分布
3,94.499,候选分布
4,69.886,候选分布
5,102.985,候选分布
6,105.770,候选分布
7,97.040,候选分布
8,109.603,候选分布
9,132.558,候选分布
10,138.183,候选分布
11,50.569,候选分布
12,106.412,候选分布
13,109.812,候选分布
14,109.710,候选分布
15,127.267,候选分布
16,129.503,候选分布
17,146.692,候选分布
18,158.229,候选分布
19,32.816,候选分布
20,52.790,候选分布
21,83.311,候选分布
22,234.270,候选分布
23,73.864,候选分布
24,169.262,候选分布
25,116.588,候选分布
26,77.826,候选分布
27,97.939,候选分布
28,103.017,候选分布
29,77.210,候选分布
30,71.641,候选分布
31,96.061,候选分布
32,95.297,候选分布
33,175.791,候选分布
34,106.644,候选分布
35,79.498,候选分布
36,267.892,候选分布
37,90.161,候选分布
38,82.090,候选分布
39,119.484,候选分布
40,55.897,候选分布
41,42.575,候选分布
42,78.286,候选分布
43,163.752,候选分布
44,69.768,候选分布
45,129.082,候选分布
46,61.652,候选分布
47,72.925,候选分布
48,89.953,候选分布
49,70.461,候选分布
50,93.254,候选分布
51,78.454,候选分布
52,163.155,候选分布
53,109.993,候选分布
54,84.048,候选分布
55,147.795,候选分布
56,129.254,候选分布
57,84.821,候选分布
58,92.368,候选分布
59,106.012,候选分布
60,82.094,候选分布
61,172.830,候选分布
62,95.471,候选分布
63,160.381,候选分布
64,98.741,候选分布
65,74.380,候选分布
66,75.429,候选分布
67,166.795,候选分布
68,72.727,候选分布
69,144.076,候选分布
70,103.544,候选分布
71,63.353,候选分布
72,57.539,候选分布
73,75.035,候选分布
74,93.132,候选分布
75,101.315,候选分布
76,81.548,候选分布
77,189.768,候选分布
78,110.860,候选分布
79,111.239,候选分布
80,118.310,候选分布
