片号,厚度_um,备注
1,49.82,右偏
2,52.76,右偏
3,78.31,右偏
4,50.43,右偏
5,45.66,右偏
6,43.69,右偏
7,34.07,右偏
8,92.93,右偏
9,77.95,右偏
10,46.01,右偏
11,57.36,右偏
12,64.18,右偏
13,36.78,右偏
14,55.79,右偏
15,69.28,右偏
16,56.97,右偏
17,30.06,右偏
18,41.99,右偏
19,35.86,右偏
20,29.53,右偏
21,52.11,右偏
22,68.66,右偏
23,45.51,右偏
24,30.36,右偏
25,49.00,右偏
26,50.74,右偏
27,100.89,右偏
28,86.28,右偏
29,74.80,右偏
30,75.22,右偏
31,44.50,右偏
32,31.49,右偏
33,54.19,右偏
34,51.94,右偏
35,38.46,右偏
36,50.16,右偏
37,47.28,右偏
38,39.82,右偏
39,75.07,右偏
40,42.16,右偏
41,62.57,右偏
42,95.40,右偏
43,96.55,右偏
44,97.61,右偏
45,213.02,右尾极大
46,141.10,右尾极大
47,114.72,右尾极大
48,81.23,右尾极大
49,49.41,右偏
50,114.34,右偏
51,41.28,右偏
52,49.39,右偏
53,81.53,右偏
54,43.11,右偏
55,38.80,右偏
56,69.21,右偏
57,69.60,右偏
58,34.28,右偏
59,55.35,右偏
60,40.00,右偏
