温度,压力,响应Y,备注
-1,-1,44.96,基线
-1,-1,45.04,基线
-1,-1,45.67,基线
-1,-1,44.88,基线
-1,-1,44.69,基线
-1,-1,44.71,基线
-1,-1,46.09,基线
-1,-1,45.25,基线
-1,1,47.08,基线
-1,1,46.73,基线
-1,1,46.39,基线
-1,1,47.09,基线
-1,1,46.45,基线
-1,1,46.48,基线
-1,1,47.04,基线
-1,1,46.10,基线
1,-1,53.19,温度主效应
1,-1,53.49,温度主效应
1,-1,52.72,温度主效应
1,-1,53.28,温度主效应
1,-1,53.78,温度主效应
1,-1,53.12,温度主效应
1,-1,52.70,温度主效应
1,-1,52.58,温度主效应
1,1,55.11,温度主效应
1,1,54.52,温度主效应
1,1,55.71,温度主效应
1,1,55.32,温度主效应
1,1,54.37,温度主效应
1,1,54.98,温度主效应
1,1,55.50,温度主效应
1,1,55.27,温度主效应
