温度,压力,强度Y1,翘曲Y2,备注
-1,-1,74.67,2.31,折中
-1,-1,75.12,1.98,折中
-1,-1,74.64,1.98,折中
-1,-1,74.53,2.24,折中
-1,-1,75.14,2.33,折中
-1,-1,74.68,2.06,折中
-1,-1,75.97,2.11,折中
-1,-1,75.20,2.17,折中
-1,1,74.23,2.54,折中
-1,1,75.25,2.58,折中
-1,1,75.10,2.51,折中
-1,1,75.19,2.58,折中
-1,1,75.59,2.65,折中
-1,1,74.81,2.58,折中
-1,1,74.20,2.58,折中
-1,1,75.30,2.55,折中
1,-1,84.12,1.47,折中
1,-1,85.10,1.43,折中
1,-1,84.53,1.53,折中
1,-1,83.73,1.40,折中
1,-1,84.89,1.27,折中
1,-1,85.83,1.39,折中
1,-1,84.60,1.39,折中
1,-1,85.92,1.26,折中
1,1,85.37,1.82,折中
1,1,85.63,1.83,折中
1,1,86.04,1.89,折中
1,1,83.87,1.96,折中
1,1,85.07,1.84,折中
1,1,84.59,1.75,折中
1,1,84.88,1.73,折中
1,1,84.72,1.92,折中
