片号,厚度_um,备注
1,100.07,近目标
2,100.00,近目标
3,99.80,近目标
4,100.31,近目标
5,99.73,近目标
6,99.74,近目标
7,99.62,近目标
8,100.37,近目标
9,99.69,近目标
10,100.50,近目标
11,100.22,近目标
12,100.44,近目标
13,100.59,近目标
14,100.93,近目标
15,100.17,近目标
16,99.96,近目标
17,99.99,近目标
18,99.80,近目标
19,100.09,近目标
20,100.10,近目标
21,99.38,近目标
22,100.42,近目标
23,100.47,近目标
24,100.29,近目标
25,99.99,近目标
26,100.25,近目标
27,99.87,近目标
28,99.62,近目标
29,100.11,近目标
30,100.91,近目标
31,100.16,近目标
32,100.02,近目标
33,100.28,近目标
34,100.19,近目标
35,100.21,近目标
36,100.00,近目标
37,100.06,近目标
38,99.84,近目标
39,99.96,近目标
40,99.81,近目标
