件号,校准前_um,校准后_um,备注
1,99.93,100.06,近零差
2,99.20,99.10,近零差
3,102.18,102.02,近零差
4,100.81,100.70,近零差
5,100.15,99.78,近零差
6,99.50,99.58,近零差
7,100.15,99.61,近零差
8,101.76,101.65,近零差
9,100.18,100.15,近零差
10,98.18,97.86,近零差
11,97.90,97.94,近零差
12,100.36,100.98,近零差
13,99.49,98.71,近零差
14,100.25,100.04,近零差
15,99.99,100.39,近零差
16,101.39,101.19,近零差
17,100.69,101.22,近零差
18,99.22,99.42,近零差
19,101.25,101.07,近零差
20,100.25,100.43,近零差
21,99.32,99.23,近零差
22,99.41,98.90,近零差
23,100.17,99.89,近零差
24,99.89,100.02,近零差
25,101.02,101.48,近零差
26,99.72,99.76,近零差
27,100.51,100.49,近零差
28,100.03,99.96,近零差
29,100.86,101.02,近零差
30,100.62,100.42,近零差
31,101.51,100.94,近零差
32,98.14,98.07,近零差
33,99.31,99.34,近零差
34,99.30,99.16,近零差
35,99.79,100.06,近零差
