次序,A线厚度_um,B线厚度_um,备注
1,99.16,99.06,近相等
2,98.69,100.39,近相等
3,99.99,98.98,近相等
4,100.59,98.77,近相等
5,100.27,100.78,近相等
6,101.78,99.79,近相等
7,100.66,99.03,近相等
8,99.92,100.64,近相等
9,100.33,99.70,近相等
10,100.67,100.76,近相等
11,99.79,99.64,近相等
12,100.08,99.72,近相等
13,100.95,100.76,近相等
14,102.25,100.36,近相等
15,99.05,101.43,近相等
16,99.68,99.45,近相等
17,99.51,98.71,近相等
18,99.48,99.77,近相等
19,99.94,100.94,近相等
20,100.66,100.98,近相等
21,99.71,100.07,近相等
22,99.48,100.16,近相等
23,100.80,100.70,近相等
24,100.28,101.05,近相等
25,100.43,99.71,近相等
