子组,高度_um,宽度_um
1,121.18,79.75
1,119.95,79.64
1,119.54,80.69
1,120.04,79.91
1,120.64,80.92
2,120.65,80.49
2,119.59,80.63
2,120.51,79.50
2,119.59,80.28
2,119.39,79.51
3,119.43,80.30
3,119.55,79.91
3,120.33,80.59
3,120.65,80.40
3,120.36,79.11
4,119.99,80.52
4,120.49,79.79
4,120.40,79.98
4,120.09,79.88
4,119.46,79.21
5,119.19,79.79
5,121.72,79.14
5,120.31,80.55
5,120.57,80.12
5,120.22,80.23
6,119.82,79.85
6,120.05,80.06
6,120.17,79.66
6,120.75,80.31
6,119.83,79.31
7,119.29,79.82
7,119.90,79.58
7,120.51,79.36
7,120.79,79.18
7,120.39,79.49
8,119.03,79.89
8,119.87,79.94
8,120.35,79.83
8,119.34,80.05
8,120.66,80.36
9,119.07,79.51
9,119.61,79.72
9,118.61,79.50
9,119.24,79.27
9,120.92,80.05
10,120.09,80.29
10,119.82,80.27
10,120.35,80.18
10,120.06,80.38
10,120.08,79.80
11,120.06,80.16
11,119.57,79.99
11,119.57,79.93
11,120.23,80.55
11,121.12,80.45
12,119.44,79.81
12,118.61,79.63
12,119.40,80.02
12,120.12,80.48
12,120.12,79.32
13,119.79,81.06
13,120.38,80.35
13,120.22,78.90
13,119.91,80.02
13,119.41,79.80
14,120.55,80.09
14,120.12,79.91
14,120.16,80.27
14,120.15,79.59
14,119.64,79.31
15,120.64,80.04
15,120.79,80.61
15,119.43,80.03
15,120.43,79.14
15,120.24,80.09
16,119.77,80.39
16,119.41,80.19
16,120.88,79.87
16,120.81,79.83
16,120.08,80.64
17,120.43,80.56
17,120.87,80.90
17,119.58,81.00
17,120.08,80.34
17,120.03,80.93
18,120.77,77.90
18,119.82,80.17
18,120.70,79.72
18,121.00,80.38
18,120.76,80.80
19,119.30,81.99
19,122.69,80.46
19,119.96,79.01
19,117.03,80.44
19,117.34,81.23
20,119.55,79.09
20,119.36,81.00
20,116.81,80.83
20,120.29,79.19
20,119.13,78.56
21,119.52,81.24
21,121.80,79.83
21,118.26,80.02
21,119.63,79.58
21,120.38,81.63
22,122.16,79.67
22,117.34,80.79
22,115.99,79.63
22,122.27,79.55
22,122.04,82.27
23,121.03,79.76
23,120.12,79.92
23,118.80,81.37
23,120.32,79.89
23,120.63,79.10
24,121.22,79.30
24,119.95,80.17
24,120.06,79.62
24,118.43,79.46
24,116.23,77.72
25,122.90,82.61
25,118.53,78.67
25,121.24,81.16
25,120.40,81.79
25,119.70,78.08
