缺陷类别,备注
虚焊,偏离均匀
其他,偏离均匀
虚焊,偏离均匀
虚焊,偏离均匀
桥连,偏离均匀
偏移,偏离均匀
虚焊,偏离均匀
虚焊,偏离均匀
其他,偏离均匀
其他,偏离均匀
虚焊,偏离均匀
虚焊,偏离均匀
偏移,偏离均匀
虚焊,偏离均匀
其他,偏离均匀
虚焊,偏离均匀
偏移,偏离均匀
虚焊,偏离均匀
桥连,偏离均匀
偏移,偏离均匀
偏移,偏离均匀
偏移,偏离均匀
其他,偏离均匀
虚焊,偏离均匀
虚焊,偏离均匀
其他,偏离均匀
虚焊,偏离均匀
偏移,偏离均匀
其他,偏离均匀
偏移,偏离均匀
桥连,偏离均匀
虚焊,偏离均匀
虚焊,偏离均匀
桥连,偏离均匀
偏移,偏离均匀
桥连,偏离均匀
桥连,偏离均匀
偏移,偏离均匀
桥连,偏离均匀
桥连,偏离均匀
虚焊,偏离均匀
虚焊,偏离均匀
偏移,偏离均匀
其他,偏离均匀
虚焊,偏离均匀
偏移,偏离均匀
其他,偏离均匀
虚焊,偏离均匀
其他,偏离均匀
桥连,偏离均匀
偏移,偏离均匀
其他,偏离均匀
虚焊,偏离均匀
虚焊,偏离均匀
虚焊,偏离均匀
虚焊,偏离均匀
虚焊,偏离均匀
桥连,偏离均匀
虚焊,偏离均匀
桥连,偏离均匀
偏移,偏离均匀
虚焊,偏离均匀
虚焊,偏离均匀
虚焊,偏离均匀
桥连,偏离均匀
桥连,偏离均匀
虚焊,偏离均匀
虚焊,偏离均匀
偏移,偏离均匀
偏移,偏离均匀
虚焊,偏离均匀
桥连,偏离均匀
虚焊,偏离均匀
虚焊,偏离均匀
虚焊,偏离均匀
虚焊,偏离均匀
虚焊,偏离均匀
虚焊,偏离均匀
虚焊,偏离均匀
偏移,偏离均匀
其他,偏离均匀
偏移,偏离均匀
虚焊,偏离均匀
其他,偏离均匀
虚焊,偏离均匀
虚焊,偏离均匀
其他,偏离均匀
偏移,偏离均匀
其他,偏离均匀
虚焊,偏离均匀
桥连,偏离均匀
虚焊,偏离均匀
桥连,偏离均匀
虚焊,偏离均匀
桥连,偏离均匀
桥连,偏离均匀
偏移,偏离均匀
桥连,偏离均匀
桥连,偏离均匀
虚焊,偏离均匀
