缺陷类别,备注
偏移,频次配方
虚焊,频次配方
虚焊,频次配方
虚焊,频次配方
偏移,频次配方
桥连,频次配方
其他,频次配方
其他,频次配方
桥连,频次配方
虚焊,频次配方
虚焊,频次配方
偏移,频次配方
虚焊,频次配方
虚焊,频次配方
虚焊,频次配方
虚焊,频次配方
其他,频次配方
其他,频次配方
偏移,频次配方
偏移,频次配方
偏移,频次配方
虚焊,频次配方
偏移,频次配方
虚焊,频次配方
偏移,频次配方
虚焊,频次配方
虚焊,频次配方
虚焊,频次配方
桥连,频次配方
虚焊,频次配方
虚焊,频次配方
虚焊,频次配方
桥连,频次配方
虚焊,频次配方
虚焊,频次配方
虚焊,频次配方
偏移,频次配方
桥连,频次配方
虚焊,频次配方
虚焊,频次配方
虚焊,频次配方
虚焊,频次配方
虚焊,频次配方
虚焊,频次配方
虚焊,频次配方
其他,频次配方
桥连,频次配方
虚焊,频次配方
虚焊,频次配方
偏移,频次配方
偏移,频次配方
偏移,频次配方
其他,频次配方
偏移,频次配方
偏移,频次配方
虚焊,频次配方
虚焊,频次配方
桥连,频次配方
虚焊,频次配方
虚焊,频次配方
偏移,频次配方
其他,频次配方
虚焊,频次配方
虚焊,频次配方
其他,频次配方
虚焊,频次配方
桥连,频次配方
虚焊,频次配方
偏移,频次配方
桥连,频次配方
虚焊,频次配方
偏移,频次配方
桥连,频次配方
桥连,频次配方
偏移,频次配方
偏移,频次配方
偏移,频次配方
桥连,频次配方
虚焊,频次配方
虚焊,频次配方
