X坐标,Y坐标,尺寸,备注
2.87,7.10,2.06,基线
9.95,1.14,2.19,基线
1.95,4.77,2.07,基线
6.98,3.52,2.93,基线
5.11,6.50,2.29,基线
7.77,4.00,2.91,基线
3.34,6.34,2.22,基线
9.56,7.06,2.44,基线
9.50,8.68,2.04,基线
2.79,1.51,2.19,基线
3.80,0.19,2.64,基线
6.37,6.53,2.70,基线
5.42,4.41,2.12,基线
6.65,6.92,2.49,基线
0.15,5.38,2.49,基线
2.60,6.77,2.80,基线
4.76,4.25,2.21,基线
0.27,0.75,2.38,基线
5.32,0.61,2.15,基线
7.86,6.49,2.52,基线
5.92,4.93,2.39,基线
1.41,6.68,2.58,基线
2.85,8.91,2.51,基线
1.64,7.17,2.25,基线
7.21,1.17,2.47,基线
1.93,3.48,2.60,基线
4.50,4.89,2.42,基线
7.55,0.18,2.67,基线
1.01,2.28,2.24,基线
4.94,5.71,8.42,大气泡
4.96,9.56,8.78,大气泡
4.41,0.22,8.91,大气泡
6.06,3.26,8.53,大气泡
0.34,8.46,8.35,大气泡
9.69,6.63,8.92,大气泡
4.00,5.66,8.86,大气泡
