X因子,Y因子,响应Z,备注
-1.5,-1.5,5.34,边缘
-1.5,-1.5,5.59,边缘
-1.5,-1.5,5.81,边缘
-1.5,-1.5,5.38,边缘
-1.5,-0.5,7.52,边缘
-1.5,-0.5,7.66,边缘
-1.5,-0.5,7.64,边缘
-1.5,-0.5,7.56,边缘
-1.5,0.5,7.05,边缘
-1.5,0.5,7.37,边缘
-1.5,0.5,7.79,边缘
-1.5,0.5,7.40,边缘
-1.5,1.5,5.63,边缘
-1.5,1.5,5.63,边缘
-1.5,1.5,6.01,边缘
-1.5,1.5,5.02,边缘
-0.5,-1.5,7.50,边缘
-0.5,-1.5,7.62,边缘
-0.5,-1.5,7.37,边缘
-0.5,-1.5,7.40,边缘
-0.5,-0.5,9.42,中心峰
-0.5,-0.5,9.70,中心峰
-0.5,-0.5,9.53,中心峰
-0.5,-0.5,9.47,中心峰
-0.5,0.5,9.73,中心峰
-0.5,0.5,9.32,中心峰
-0.5,0.5,9.52,中心峰
-0.5,0.5,9.38,中心峰
-0.5,1.5,7.31,边缘
-0.5,1.5,7.61,边缘
-0.5,1.5,7.42,边缘
-0.5,1.5,7.40,边缘
0.5,-1.5,7.73,边缘
0.5,-1.5,7.23,边缘
0.5,-1.5,7.65,边缘
0.5,-1.5,7.68,边缘
0.5,-0.5,9.55,中心峰
0.5,-0.5,9.26,中心峰
0.5,-0.5,9.70,中心峰
0.5,-0.5,9.40,中心峰
0.5,0.5,9.51,中心峰
0.5,0.5,9.25,中心峰
0.5,0.5,9.42,中心峰
0.5,0.5,9.51,中心峰
0.5,1.5,7.55,边缘
0.5,1.5,7.37,边缘
0.5,1.5,7.54,边缘
0.5,1.5,7.21,边缘
1.5,-1.5,5.79,边缘
1.5,-1.5,5.78,边缘
1.5,-1.5,5.46,边缘
1.5,-1.5,5.44,边缘
1.5,-0.5,7.06,边缘
1.5,-0.5,7.48,边缘
1.5,-0.5,7.66,边缘
1.5,-0.5,7.29,边缘
1.5,0.5,7.06,边缘
1.5,0.5,7.38,边缘
1.5,0.5,7.71,边缘
1.5,0.5,7.62,边缘
1.5,1.5,5.40,边缘
1.5,1.5,5.45,边缘
1.5,1.5,5.23,边缘
1.5,1.5,5.44,边缘
