变量A,变量B,变量C,备注
0.12,-0.20,-0.12,A-B强
0.69,-0.05,-0.62,A-B强
1.16,1.18,0.62,A-B强
-0.15,0.52,-0.65,A-B强
0.60,0.54,0.23,A-B强
0.37,-0.08,0.42,A-B强
0.21,0.52,-0.91,A-B强
-1.55,-1.12,-2.16,A-B强
-1.39,-0.86,-0.66,A-B强
0.16,-0.05,1.43,A-B强
0.26,0.21,-1.55,A-B强
0.51,0.58,-0.71,A-B强
-1.10,-1.10,0.13,A-B强
-0.70,-0.91,-1.60,A-B强
0.21,-0.92,1.57,A-B强
-0.14,0.41,1.71,A-B强
-0.86,-1.05,0.61,A-B强
-0.33,0.03,0.64,A-B强
0.07,-0.33,-2.76,A-B强
-2.27,-1.76,-1.15,A-B强
1.43,1.93,0.03,A-B强
0.20,0.31,-0.03,A-B强
0.15,-0.14,0.65,A-B强
-0.32,-0.75,-1.58,A-B强
-1.55,-1.68,-1.06,A-B强
0.85,0.93,0.65,A-B强
0.59,1.11,-0.21,A-B强
-0.32,-0.71,-1.83,A-B强
-0.91,-0.85,-0.10,A-B强
-1.39,-0.77,0.41,A-B强
-1.40,-1.02,-1.07,A-B强
-1.03,-1.55,0.81,A-B强
-1.12,-0.49,1.77,A-B强
-0.22,-0.17,-0.38,A-B强
-0.25,-0.87,-0.20,A-B强
0.25,-0.12,-0.31,A-B强
1.15,1.41,-0.21,A-B强
0.57,0.63,0.86,A-B强
1.27,0.79,0.07,A-B强
-0.33,-0.37,0.27,A-B强
