片号,厚度_um,备注
1,100.18,单峰
2,99.63,单峰
3,99.43,单峰
4,99.28,单峰
5,99.12,单峰
6,99.72,单峰
7,98.87,单峰
8,100.76,单峰
9,100.29,单峰
10,99.53,单峰
11,100.14,单峰
12,98.75,单峰
13,98.63,单峰
14,100.19,单峰
15,100.07,单峰
16,98.62,单峰
17,98.33,单峰
18,100.15,单峰
19,100.15,单峰
20,98.99,单峰
21,100.44,单峰
22,100.61,单峰
23,99.92,单峰
24,100.87,单峰
25,100.39,单峰
26,99.78,单峰
27,99.99,单峰
28,98.84,单峰
29,99.73,单峰
30,101.34,单峰
31,99.57,单峰
32,100.48,单峰
33,99.23,单峰
34,98.91,单峰
35,100.17,单峰
36,99.07,单峰
37,98.48,单峰
38,99.33,单峰
39,100.28,单峰
40,100.91,肩部
41,100.92,肩部
42,101.67,肩部
43,100.46,单峰
44,100.15,单峰
45,99.92,单峰
46,99.12,单峰
47,99.21,单峰
48,101.51,单峰
49,101.21,单峰
50,98.22,单峰
51,100.16,单峰
52,100.38,单峰
53,100.80,单峰
54,100.44,单峰
55,100.46,单峰
