片号,厚度_um,备注
1,100.00,基线
2,100.91,基线
3,100.46,基线
4,97.91,基线
5,101.62,基线
6,99.90,基线
7,97.05,基线
8,100.42,基线
9,101.39,基线
10,98.67,基线
11,99.93,基线
12,97.88,基线
13,98.77,基线
14,100.92,基线
15,101.42,基线
16,99.67,基线
17,101.62,基线
18,98.48,基线
19,100.35,基线
20,100.47,基线
21,100.10,基线
22,97.36,基线
23,98.46,基线
24,99.10,基线
25,99.89,基线
26,98.89,基线
27,100.65,基线
28,98.44,基线
29,101.63,基线
30,99.68,基线
31,101.50,基线
32,100.03,基线
33,100.44,基线
34,98.45,基线
35,99.76,基线
36,100.90,基线
37,98.65,基线
38,101.53,基线
39,98.58,基线
40,97.73,基线
41,100.88,基线
42,100.81,基线
43,100.64,基线
44,99.19,基线
45,103.20,上分位
46,101.57,上分位
47,100.52,上分位
48,101.60,上分位
49,100.31,上分位
50,102.19,上分位
