片号,厚度_um,备注
1,101.03,基线
2,100.17,基线
3,99.96,基线
4,100.27,基线
5,99.55,基线
6,99.25,基线
7,100.52,基线
8,100.10,基线
9,100.12,基线
10,100.00,基线
11,100.05,基线
12,99.69,基线
13,99.69,基线
14,100.56,基线
15,100.96,基线
16,100.94,基线
17,99.95,基线
18,100.33,基线
19,100.37,基线
20,100.29,基线
21,100.36,基线
22,100.82,基线
23,100.00,基线
24,100.08,基线
25,102.25,中段漂移
26,101.01,中段漂移
27,101.87,中段漂移
28,100.94,中段漂移
29,100.78,中段漂移
30,100.34,中段漂移
31,102.49,中段漂移
32,100.28,中段漂移
33,100.41,中段漂移
34,101.17,中段漂移
35,100.97,中段漂移
36,101.90,中段漂移
37,100.33,基线
38,99.07,基线
39,99.88,基线
40,100.06,基线
41,99.84,基线
42,99.64,基线
43,100.09,基线
44,99.62,基线
45,99.53,基线
46,99.24,基线
47,99.35,基线
48,99.78,基线
