变量A,变量B,变量C,备注
-0.00,0.05,-1.30,热图块
-0.71,-0.61,-0.97,热图块
-0.63,0.15,-1.47,热图块
0.50,0.42,-0.18,热图块
1.40,1.07,0.37,热图块
-0.30,-0.14,1.11,热图块
0.16,0.57,1.60,热图块
-0.99,-0.84,0.17,热图块
0.02,-0.79,-0.67,热图块
-0.58,0.07,-1.10,热图块
-1.36,-1.05,-0.16,热图块
0.59,0.82,1.71,热图块
-2.09,-2.02,0.09,热图块
1.28,1.19,-0.24,热图块
0.43,0.41,2.85,热图块
0.12,0.81,0.28,热图块
1.75,1.52,-0.06,热图块
0.97,0.37,0.07,热图块
0.38,0.67,-0.94,热图块
0.82,0.45,0.10,热图块
1.82,1.49,0.87,热图块
-0.23,-0.22,-1.33,热图块
-0.60,-0.93,-0.89,热图块
-0.21,-0.01,-1.37,热图块
0.65,-0.15,-0.77,热图块
-1.34,-0.71,-2.09,热图块
0.79,1.50,1.09,热图块
0.88,0.66,-1.00,热图块
0.81,0.57,0.08,热图块
0.30,0.28,0.85,热图块
-0.35,-0.58,1.29,热图块
0.22,0.26,-1.35,热图块
-0.77,-0.37,-0.54,热图块
0.54,-0.18,-1.80,热图块
-0.80,-0.87,-1.92,热图块
0.35,0.65,-1.62,热图块
