X坐标,Y坐标,备注
0.19,0.87,核
-0.58,-0.44,核
0.80,-0.63,核
0.04,0.14,核
1.34,-0.68,核
0.39,-1.66,核
-0.10,-0.69,核
1.05,-0.88,核
-0.47,-1.49,核
-0.03,-1.33,核
1.72,0.53,核
-1.06,-0.67,核
-0.13,-0.04,核
1.22,0.89,核
-1.52,-0.21,核
-0.01,0.37,核
-0.38,0.69,核
-0.56,-0.63,核
0.72,-0.87,核
-1.16,1.75,核
-0.72,-1.70,核
0.50,0.50,核
-0.75,-0.09,核
-1.90,-0.58,核
-0.87,0.70,核
0.03,-0.70,核
1.03,0.24,核
2.10,0.77,核
0.59,0.36,核
-1.07,-0.73,核
-0.50,-0.26,核
-0.54,-0.14,核
1.37,-2.18,核
-0.62,-0.43,核
-0.88,-0.34,核
-0.51,0.01,核
0.81,0.74,核
-1.23,1.18,核
1.13,1.45,核
0.11,-1.08,核
0.38,-0.02,核
-1.89,-0.22,核
-0.32,-0.70,核
-0.12,-0.01,核
-0.61,1.67,核
-0.79,0.67,核
1.27,-0.98,核
-0.45,-0.54,核
0.09,-1.22,核
-1.66,0.83,核
0.48,0.87,核
-1.14,-0.42,核
-1.62,-0.20,核
-0.29,-0.58,核
-0.94,1.94,核
-0.46,0.30,核
-1.77,0.82,核
0.33,0.49,核
0.02,1.06,核
0.53,0.57,核
-0.50,0.14,核
-1.47,0.34,核
-1.12,-0.29,核
0.08,-1.03,核
1.65,0.36,核
-0.63,-0.74,核
-0.19,-1.81,核
-0.84,-0.13,核
-1.47,-0.17,核
0.60,1.73,核
-0.29,0.78,核
1.28,0.64,核
0.69,-0.16,核
-0.14,0.14,核
-1.51,-1.24,核
1.14,-0.57,核
0.80,0.27,核
0.05,-0.80,核
1.07,-0.58,核
0.77,-1.00,核
0.54,-0.01,核
-1.11,-0.36,核
-1.79,0.64,核
0.27,-0.21,核
-0.44,-1.45,核
-1.34,-0.16,核
0.12,-1.05,核
-1.49,0.14,核
2.02,0.21,核
1.26,-0.70,核
0.12,0.32,核
-1.16,0.37,核
-0.67,0.55,核
1.06,-0.38,核
-0.13,-0.77,核
-0.16,-0.03,核
-0.05,1.21,核
-1.36,1.00,核
-0.59,1.35,核
1.17,0.72,核
2.69,5.43,外缘
0.52,-0.79,外缘
-3.91,2.78,外缘
-1.66,1.28,外缘
2.54,-1.86,外缘
0.31,3.78,外缘
-0.67,1.15,外缘
0.52,0.79,外缘
-2.41,-0.24,外缘
0.89,1.48,外缘
-3.16,3.46,外缘
-1.07,-3.22,外缘
1.58,-0.40,外缘
-2.11,0.01,外缘
-0.70,3.71,外缘
2.03,-3.59,外缘
-0.36,-2.28,外缘
-1.02,6.52,外缘
-3.33,-3.11,外缘
1.04,-2.53,外缘
