片号,厚度_um,备注
1,98.94,基线
2,100.02,基线
3,100.80,基线
4,98.41,基线
5,100.27,基线
6,99.04,基线
7,100.62,基线
8,99.82,基线
9,100.38,基线
10,98.56,基线
11,100.92,基线
12,102.22,基线
13,99.82,基线
14,99.65,基线
15,100.04,基线
16,98.50,基线
17,99.85,基线
18,99.97,基线
19,98.57,基线
20,97.77,基线
21,100.72,基线
22,99.57,基线
23,99.71,基线
24,99.49,基线
25,99.28,基线
26,99.89,基线
27,99.41,基线
28,99.91,基线
29,99.03,基线
30,100.20,基线
31,99.78,基线
32,102.03,基线
33,101.22,基线
34,99.43,基线
35,100.34,基线
36,98.66,基线
37,100.03,基线
38,99.25,基线
39,99.88,基线
40,100.85,基线
41,98.80,基线
42,99.95,基线
43,101.55,基线
44,99.06,基线
45,99.50,基线
46,100.83,基线
47,99.51,基线
48,101.44,右尾
49,103.99,右尾
50,103.34,右尾
51,101.53,基线
52,100.07,基线
53,100.62,基线
54,99.92,基线
55,97.88,基线
56,98.94,基线
57,99.88,基线
58,100.30,基线
59,98.83,基线
60,99.33,基线
