厚度_um,腔号,备注
99.27,1,基线
100.40,1,基线
99.46,1,基线
100.41,1,基线
100.17,1,基线
100.15,1,基线
101.13,1,基线
101.22,1,基线
99.86,1,基线
100.37,1,基线
101.10,1,基线
99.90,1,基线
99.60,1,基线
100.24,1,基线
101.14,1,基线
99.62,2,基线
100.48,2,基线
99.74,2,基线
100.41,2,基线
99.22,2,基线
97.71,2,基线
99.87,2,基线
100.34,2,基线
99.72,2,基线
100.77,2,基线
100.29,2,基线
100.47,2,基线
98.85,2,基线
99.39,2,基线
98.58,2,基线
97.20,3,腔3偏低
98.23,3,腔3偏低
97.53,3,腔3偏低
97.67,3,腔3偏低
98.15,3,腔3偏低
96.85,3,腔3偏低
98.16,3,腔3偏低
96.37,3,腔3偏低
98.72,3,腔3偏低
97.65,3,腔3偏低
97.81,3,腔3偏低
98.89,3,腔3偏低
97.95,3,腔3偏低
98.56,3,腔3偏低
98.53,3,腔3偏低
