X值,Y值,备注
0.61,-0.34,相关
-0.40,-0.23,相关
-0.22,-0.64,相关
-0.30,-0.49,相关
0.20,-0.33,相关
-0.74,-0.62,相关
0.42,-0.45,相关
-2.39,-1.52,相关
0.29,0.65,相关
-0.18,0.19,相关
-0.36,0.23,相关
0.78,0.83,相关
-1.44,0.64,相关
0.49,0.01,相关
0.20,-0.54,相关
1.68,1.54,相关
-1.13,0.43,相关
1.28,0.52,相关
-1.97,-1.36,相关
-0.56,-1.03,相关
-0.43,-0.21,相关
-0.98,-0.93,相关
0.20,0.01,相关
-0.70,0.71,相关
-0.53,-0.99,相关
-0.47,0.19,相关
-0.23,-1.30,相关
-0.89,-1.00,相关
-0.17,0.45,相关
-0.39,-1.32,相关
0.00,-0.36,相关
-0.72,-0.09,相关
1.63,0.40,相关
1.57,1.08,相关
1.52,0.55,相关
0.18,0.77,相关
-0.41,-1.44,相关
-0.11,0.87,相关
0.86,0.77,相关
0.13,0.31,相关
-0.17,-0.99,相关
1.45,0.82,相关
-0.48,-0.80,相关
1.47,0.54,相关
-0.80,-1.77,相关
1.29,1.89,相关
0.22,-0.09,相关
0.38,-0.21,相关
2.62,1.69,相关
-0.51,-0.75,相关
