厚度_um,偏移_um,温度_C,备注
101.63,5.38,239.8,面板相关
99.72,3.93,244.8,面板相关
100.11,5.09,231.7,面板相关
100.40,5.86,242.1,面板相关
100.41,5.26,239.9,面板相关
100.90,6.29,236.8,面板相关
101.30,5.95,239.3,面板相关
99.54,3.87,239.6,面板相关
99.88,4.49,234.7,面板相关
100.60,5.93,238.1,面板相关
98.82,5.48,236.7,面板相关
102.94,7.30,248.8,面板相关
101.81,6.37,239.6,面板相关
98.81,4.27,241.2,面板相关
98.95,5.23,241.1,面板相关
100.88,7.26,230.4,面板相关
99.20,2.96,239.8,面板相关
99.13,5.45,244.5,面板相关
99.16,6.59,238.7,面板相关
100.18,4.76,234.9,面板相关
100.28,4.95,239.5,面板相关
100.90,5.08,242.1,面板相关
100.30,5.63,238.4,面板相关
99.75,4.59,241.0,面板相关
100.18,5.73,235.4,面板相关
100.29,5.88,238.0,面板相关
98.30,3.80,234.1,面板相关
99.97,5.63,235.0,面板相关
101.00,5.83,239.3,面板相关
100.27,4.19,236.2,面板相关
100.28,6.00,243.5,面板相关
100.26,4.03,238.3,面板相关
100.07,4.69,241.1,面板相关
100.95,6.10,242.3,面板相关
100.25,5.49,240.4,面板相关
99.91,4.04,246.3,面板相关
102.02,5.57,241.9,面板相关
102.17,6.17,236.7,面板相关
99.37,5.02,238.5,面板相关
99.82,5.48,238.3,面板相关
