班次,缺陷类别,备注
早班,偏移,基线
早班,偏移,基线
早班,偏移,基线
早班,虚焊,基线
晚班,虚焊,晚班虚焊↑
早班,桥连,基线
早班,偏移,基线
晚班,虚焊,晚班虚焊↑
晚班,桥连,晚班虚焊↑
晚班,虚焊,晚班虚焊↑
晚班,虚焊,晚班虚焊↑
晚班,桥连,晚班虚焊↑
早班,偏移,基线
早班,偏移,基线
晚班,虚焊,晚班虚焊↑
晚班,桥连,晚班虚焊↑
晚班,桥连,晚班虚焊↑
早班,虚焊,基线
晚班,虚焊,晚班虚焊↑
晚班,偏移,晚班虚焊↑
早班,偏移,基线
早班,桥连,基线
晚班,虚焊,晚班虚焊↑
晚班,桥连,晚班虚焊↑
早班,虚焊,基线
早班,偏移,基线
晚班,虚焊,晚班虚焊↑
早班,桥连,基线
晚班,桥连,晚班虚焊↑
早班,偏移,基线
晚班,桥连,晚班虚焊↑
早班,偏移,基线
晚班,虚焊,晚班虚焊↑
早班,偏移,基线
晚班,虚焊,晚班虚焊↑
早班,偏移,基线
早班,虚焊,基线
早班,偏移,基线
晚班,偏移,晚班虚焊↑
晚班,虚焊,晚班虚焊↑
早班,虚焊,基线
晚班,虚焊,晚班虚焊↑
晚班,桥连,晚班虚焊↑
早班,偏移,基线
早班,虚焊,基线
晚班,偏移,晚班虚焊↑
晚班,虚焊,晚班虚焊↑
早班,偏移,基线
晚班,桥连,晚班虚焊↑
晚班,虚焊,晚班虚焊↑
晚班,虚焊,晚班虚焊↑
早班,偏移,基线
晚班,偏移,晚班虚焊↑
早班,桥连,基线
早班,偏移,基线
晚班,虚焊,晚班虚焊↑
晚班,偏移,晚班虚焊↑
早班,偏移,基线
晚班,虚焊,晚班虚焊↑
晚班,偏移,晚班虚焊↑
早班,桥连,基线
早班,偏移,基线
晚班,偏移,晚班虚焊↑
早班,偏移,基线
晚班,虚焊,晚班虚焊↑
早班,虚焊,基线
早班,桥连,基线
早班,桥连,基线
早班,偏移,基线
早班,偏移,基线
早班,偏移,基线
晚班,虚焊,晚班虚焊↑
晚班,虚焊,晚班虚焊↑
晚班,偏移,晚班虚焊↑
晚班,虚焊,晚班虚焊↑
晚班,虚焊,晚班虚焊↑
晚班,偏移,晚班虚焊↑
晚班,虚焊,晚班虚焊↑
晚班,虚焊,晚班虚焊↑
早班,桥连,基线
早班,偏移,基线
早班,虚焊,基线
早班,偏移,基线
晚班,虚焊,晚班虚焊↑
晚班,虚焊,晚班虚焊↑
早班,虚焊,基线
晚班,虚焊,晚班虚焊↑
晚班,虚焊,晚班虚焊↑
早班,桥连,基线
早班,偏移,基线
晚班,虚焊,晚班虚焊↑
早班,桥连,基线
早班,桥连,基线
早班,偏移,基线
晚班,虚焊,晚班虚焊↑
早班,偏移,基线
晚班,偏移,晚班虚焊↑
晚班,虚焊,晚班虚焊↑
早班,偏移,基线
早班,偏移,基线
