轴1,轴2,轴3,轴4,备注
0.96,1.09,1.19,1.24,良品
1.04,1.35,1.19,1.05,良品
1.11,0.76,0.85,1.42,良品
0.83,0.81,1.09,1.00,良品
1.35,0.70,1.25,1.12,良品
1.11,1.02,1.28,1.22,良品
1.33,1.00,1.01,1.11,良品
0.96,0.79,1.50,0.93,良品
1.12,1.06,1.15,0.99,良品
1.33,0.88,1.00,0.87,良品
0.95,1.27,1.27,1.50,良品
1.33,1.35,0.89,1.45,良品
0.91,0.97,0.61,1.42,良品
0.95,1.04,1.03,0.87,良品
1.00,0.85,1.05,1.30,良品
0.93,0.94,0.97,0.80,良品
0.67,1.26,0.92,1.18,良品
1.10,1.11,0.94,1.00,良品
0.81,1.15,1.12,1.12,良品
0.86,1.21,0.81,1.06,良品
1.01,0.98,0.27,0.43,差品
1.31,0.77,-0.05,0.35,差品
1.31,1.12,0.29,0.78,差品
1.28,1.08,0.10,0.40,差品
1.05,1.43,0.45,0.23,差品
1.46,1.22,0.25,0.27,差品
1.12,1.06,0.33,0.27,差品
1.06,1.24,0.46,0.14,差品
1.24,1.03,0.31,0.47,差品
0.86,1.14,0.34,0.36,差品
