温度_C,偏移_um,备注
242.0,10.01,正相关
237.1,6.87,正相关
241.9,7.87,正相关
224.9,3.87,正相关
231.4,5.61,正相关
241.6,6.68,正相关
228.5,4.20,正相关
235.7,7.50,正相关
217.6,2.27,正相关
244.1,7.86,正相关
229.4,4.90,正相关
233.1,5.57,正相关
226.5,5.47,正相关
226.9,4.45,正相关
236.3,6.34,正相关
235.3,5.38,正相关
224.0,3.33,正相关
228.5,5.15,正相关
238.6,7.85,正相关
237.9,6.88,正相关
242.6,9.03,正相关
233.0,5.13,正相关
242.5,7.94,正相关
232.0,5.91,正相关
232.4,5.36,正相关
232.9,5.78,正相关
221.3,2.52,正相关
232.8,5.59,正相关
247.2,9.29,正相关
230.8,5.97,正相关
224.9,3.66,正相关
219.5,0.63,正相关
231.6,4.60,正相关
223.4,3.43,正相关
229.7,4.89,正相关
228.6,5.11,正相关
231.1,4.23,正相关
234.5,5.63,正相关
237.4,7.04,正相关
234.6,6.47,正相关
228.0,4.49,正相关
243.8,14.01,离群
223.9,2.12,正相关
237.0,8.35,正相关
228.1,4.86,正相关
