厚度_um,线别,备注
100.87,A,基线
100.53,A,基线
100.44,A,基线
100.01,A,基线
99.26,A,基线
99.49,A,基线
99.64,A,基线
100.28,A,基线
101.10,A,基线
99.00,A,基线
98.78,A,基线
100.15,A,基线
100.57,A,基线
101.20,A,基线
100.00,A,基线
99.36,A,基线
100.75,A,基线
100.92,A,基线
100.69,A,基线
100.76,A,基线
101.47,B,B抬高
101.80,B,B抬高
100.52,B,B抬高
103.06,B,B抬高
100.85,B,B抬高
101.31,B,B抬高
101.92,B,B抬高
101.64,B,B抬高
103.19,B,B抬高
101.40,B,B抬高
100.49,B,B抬高
100.75,B,B抬高
101.79,B,B抬高
101.11,B,B抬高
101.85,B,B抬高
99.65,B,B抬高
101.04,B,B抬高
103.05,B,B抬高
100.87,B,B抬高
102.83,B,B抬高
