厚度_um,线别,备注
101.76,A,窄
100.49,A,窄
99.77,A,窄
98.70,A,窄
100.52,A,窄
99.19,A,窄
99.84,A,窄
99.72,A,窄
99.22,A,窄
100.52,A,窄
100.06,A,窄
100.46,A,窄
99.94,A,窄
100.11,A,窄
99.13,A,窄
99.86,A,窄
99.90,A,窄
100.40,A,窄
100.22,A,窄
98.93,A,窄
99.64,A,窄
100.76,A,窄
99.23,A,窄
99.77,A,窄
101.60,B,B更宽
99.82,B,B更宽
98.95,B,B更宽
97.69,B,B更宽
97.93,B,B更宽
101.18,B,B更宽
98.01,B,B更宽
98.96,B,B更宽
100.52,B,B更宽
103.47,B,B更宽
99.45,B,B更宽
98.86,B,B更宽
100.67,B,B更宽
99.96,B,B更宽
98.70,B,B更宽
99.72,B,B更宽
103.42,B,B更宽
101.00,B,B更宽
102.89,B,B更宽
100.00,B,B更宽
98.46,B,B更宽
101.46,B,B更宽
100.06,B,B更宽
99.79,B,B更宽
