子组,厚度_um,备注
1,99.63,基线
1,98.54,基线
1,101.66,基线
1,100.18,基线
1,100.10,基线
2,99.78,基线
2,100.44,基线
2,98.81,基线
2,100.71,基线
2,101.72,基线
3,99.50,基线
3,100.58,基线
3,99.39,基线
3,99.12,基线
3,99.99,基线
4,99.43,基线
4,99.62,基线
4,100.04,基线
4,99.87,基线
4,100.80,基线
5,100.58,基线
5,100.29,基线
5,100.17,基线
5,99.60,基线
5,99.82,基线
6,100.08,基线
6,99.97,基线
6,99.68,基线
6,100.48,基线
6,101.05,基线
7,99.17,基线
7,100.32,基线
7,99.37,基线
7,99.48,基线
7,99.64,基线
8,100.18,基线
8,100.30,基线
8,100.37,基线
8,100.02,基线
8,100.62,基线
9,100.38,基线
9,99.70,基线
9,100.38,基线
9,100.41,基线
9,100.89,基线
10,100.97,基线
10,101.14,基线
10,99.66,基线
10,100.85,基线
10,99.75,基线
11,99.34,基线
11,100.20,基线
11,99.70,基线
11,99.58,基线
11,99.31,基线
12,99.90,基线
12,99.30,基线
12,98.76,基线
12,99.79,基线
12,99.68,基线
13,99.06,基线
13,99.37,基线
13,99.75,基线
13,99.94,基线
13,100.72,基线
14,100.49,基线
14,99.83,基线
14,99.20,基线
14,99.88,基线
14,99.12,基线
15,100.22,基线
15,99.56,基线
15,100.57,基线
15,98.99,基线
15,100.38,基线
16,102.33,均值台阶
16,101.67,均值台阶
16,103.18,均值台阶
16,101.83,均值台阶
16,101.80,均值台阶
17,101.94,均值台阶
17,101.40,均值台阶
17,102.37,均值台阶
17,101.57,均值台阶
17,102.50,均值台阶
18,102.38,均值台阶
18,101.28,均值台阶
18,102.18,均值台阶
18,101.67,均值台阶
18,101.92,均值台阶
19,101.97,均值台阶
19,102.20,均值台阶
19,102.81,均值台阶
19,101.93,均值台阶
19,101.90,均值台阶
20,102.41,均值台阶
20,101.94,均值台阶
20,101.96,均值台阶
20,102.57,均值台阶
20,102.87,均值台阶
21,100.92,均值台阶
21,101.81,均值台阶
21,102.36,均值台阶
21,101.49,均值台阶
21,102.10,均值台阶
22,100.74,均值台阶
22,102.40,均值台阶
22,101.23,均值台阶
22,102.02,均值台阶
22,101.82,均值台阶
23,102.33,均值台阶
23,102.86,均值台阶
23,101.10,均值台阶
23,101.67,均值台阶
23,101.81,均值台阶
24,102.11,均值台阶
24,101.80,均值台阶
24,102.42,均值台阶
24,101.74,均值台阶
24,101.56,均值台阶
25,102.05,均值台阶
25,101.13,均值台阶
25,101.26,均值台阶
25,102.62,均值台阶
25,102.48,均值台阶
