片号,锡膏高度_um,时段备注
1,119.9,基线
2,119.9,基线
3,119.9,基线
4,120.4,基线
5,119.9,基线
6,119.2,基线
7,120.2,基线
8,119.9,基线
9,119.9,基线
10,120.1,基线
11,120.1,基线
12,120.6,基线
13,120.4,基线
14,120.1,基线
15,119.6,基线
16,119.4,基线
17,120.1,基线
18,120.7,基线
19,120.0,基线
20,119.9,基线
21,120.3,基线
22,119.2,基线
23,119.8,基线
24,120.3,基线
25,120.5,基线
26,119.9,基线
27,120.2,基线
28,120.1,基线
29,120.4,基线
30,119.4,基线
31,120.3,基线
32,119.2,基线
33,118.6,基线
34,119.7,基线
35,119.5,基线
36,120.5,基线
37,120.4,基线
38,119.3,基线
39,120.5,基线
40,119.4,基线
41,123.9,钢网更换后（均值阶跃开始）
42,124.0,钢网更换后
43,123.8,钢网更换后
44,124.1,钢网更换后
45,124.5,钢网更换后
46,124.4,钢网更换后
47,124.2,钢网更换后
48,124.4,钢网更换后
49,124.3,钢网更换后
50,123.7,钢网更换后
51,123.6,钢网更换后
52,123.7,钢网更换后
53,124.3,钢网更换后
54,123.9,钢网更换后
55,132.4,尖峰
56,125.3,钢网更换后
57,123.5,钢网更换后
58,123.4,钢网更换后
59,124.4,钢网更换后
60,124.8,钢网更换后
