片号,锡膏高度_um,时段备注
1,120.8,基线
2,120.2,基线
3,120.4,基线
4,120.5,基线
5,119.5,基线
6,119.1,基线
7,119.4,基线
8,120.2,基线
9,120.6,基线
10,120.1,基线
11,119.3,基线
12,120.8,基线
13,119.1,基线
14,119.7,基线
15,119.7,基线
16,120.1,基线
17,120.6,基线
18,119.2,基线
19,119.8,基线
20,120.2,基线
21,119.4,基线
22,119.9,基线
23,120.1,基线
24,119.3,基线
25,119.3,基线
26,120.0,基线
27,119.9,基线
28,120.1,基线
29,121.2,基线
30,120.5,基线
31,120.2,基线
32,119.6,基线
33,120.5,基线
34,119.6,基线
35,120.9,基线
36,120.7,基线
37,118.9,基线
38,119.4,基线
39,119.9,基线
40,119.8,基线
41,123.9,钢网更换后（均值阶跃开始）
42,123.3,钢网更换后
43,123.3,钢网更换后
44,124.4,钢网更换后
45,123.7,钢网更换后
46,123.2,钢网更换后
47,123.8,钢网更换后
48,132.4,尖峰
49,124.5,钢网更换后
50,124.9,钢网更换后
51,124.0,钢网更换后
52,123.8,钢网更换后
53,123.6,钢网更换后
54,123.7,钢网更换后
55,124.3,钢网更换后
56,124.7,钢网更换后
57,124.7,钢网更换后
58,123.9,钢网更换后
59,124.5,钢网更换后
60,124.4,钢网更换后
