片号,锡膏高度_um,备注
1,120.12,相对目标120偏移
2,125.13,相对目标120偏移
3,120.78,相对目标120偏移
4,123.09,相对目标120偏移
5,123.26,相对目标120偏移
6,125.96,相对目标120偏移
7,122.84,相对目标120偏移
8,128.32,相对目标120偏移
9,123.22,相对目标120偏移
10,128.11,相对目标120偏移
11,124.80,相对目标120偏移
12,124.23,相对目标120偏移
13,118.36,相对目标120偏移
14,121.40,相对目标120偏移
15,123.96,相对目标120偏移
16,121.57,相对目标120偏移
17,120.36,相对目标120偏移
18,120.06,相对目标120偏移
19,124.68,相对目标120偏移
20,126.29,相对目标120偏移
21,124.97,相对目标120偏移
22,118.23,相对目标120偏移
23,123.62,相对目标120偏移
24,126.21,相对目标120偏移
25,118.18,相对目标120偏移
26,124.31,相对目标120偏移
27,123.05,相对目标120偏移
28,122.63,相对目标120偏移
29,126.49,相对目标120偏移
30,121.68,相对目标120偏移
31,121.91,相对目标120偏移
32,128.05,相对目标120偏移
33,125.47,相对目标120偏移
34,127.06,相对目标120偏移
35,122.64,相对目标120偏移
36,122.75,相对目标120偏移
37,123.65,相对目标120偏移
38,121.38,相对目标120偏移
39,124.08,相对目标120偏移
40,123.53,相对目标120偏移
41,124.87,相对目标120偏移
42,124.14,相对目标120偏移
43,121.97,相对目标120偏移
44,127.36,相对目标120偏移
45,122.29,相对目标120偏移
46,123.63,相对目标120偏移
47,126.13,相对目标120偏移
48,123.08,相对目标120偏移
49,126.92,相对目标120偏移
50,126.16,相对目标120偏移
