焊点号,返工前_um,返工后_um,备注
1,101.21,103.55,返工抬高
2,98.93,101.20,返工抬高
3,100.10,102.76,返工抬高
4,99.05,101.98,返工抬高
5,100.14,102.10,返工抬高
6,100.48,102.93,返工抬高
7,99.87,102.25,返工抬高
8,100.10,102.91,返工抬高
9,101.49,103.87,返工抬高
10,98.12,100.22,返工抬高
11,100.93,103.26,返工抬高
12,100.53,102.66,返工抬高
13,99.46,100.88,返工抬高
14,98.95,102.06,返工抬高
15,99.95,102.19,返工抬高
16,100.05,102.15,返工抬高
17,99.82,102.75,返工抬高
18,99.48,103.39,返工抬高
19,98.20,101.18,返工抬高
20,100.49,103.34,返工抬高
21,101.13,103.68,返工抬高
22,101.15,103.43,返工抬高
23,99.89,102.03,返工抬高
24,100.66,103.32,返工抬高
25,101.48,103.71,返工抬高
26,101.56,103.62,返工抬高
27,99.96,102.85,返工抬高
28,99.58,101.86,返工抬高
29,98.76,101.34,返工抬高
30,99.96,104.06,返工抬高
31,102.12,105.11,返工抬高
32,102.54,105.43,返工抬高
33,99.51,102.20,返工抬高
34,98.89,100.72,返工抬高
35,99.10,102.01,返工抬高
36,99.60,101.69,返工抬高
37,99.41,102.77,返工抬高
38,98.18,100.99,返工抬高
39,98.48,101.31,返工抬高
40,99.29,101.67,返工抬高
