次序,A线厚度_um,B线厚度_um,备注
1,102.58,101.72,B线偏高
2,101.09,104.23,B线偏高
3,100.73,100.95,B线偏高
4,99.00,101.10,B线偏高
5,98.51,102.15,B线偏高
6,100.36,100.52,B线偏高
7,98.54,100.79,B线偏高
8,99.58,100.92,B线偏高
9,99.10,101.94,B线偏高
10,101.65,100.35,B线偏高
11,99.63,100.48,B线偏高
12,100.67,100.93,B线偏高
13,99.69,101.70,B线偏高
14,98.49,100.25,B线偏高
15,99.44,99.41,B线偏高
16,99.57,99.81,B线偏高
17,99.98,103.72,B线偏高
18,101.62,101.10,B线偏高
19,102.07,101.16,B线偏高
20,101.21,100.03,B线偏高
21,100.58,99.78,B线偏高
22,101.33,102.57,B线偏高
23,99.14,102.35,B线偏高
24,100.94,100.51,B线偏高
25,99.84,102.46,B线偏高
26,101.36,99.85,B线偏高
27,102.18,101.12,B线偏高
28,100.39,100.12,B线偏高
29,100.95,103.32,B线偏高
30,102.35,101.78,B线偏高
