厚度_um,腔位,备注
99.39,1,基线
99.80,1,基线
99.95,1,基线
100.82,1,基线
98.29,1,基线
98.94,1,基线
98.26,1,基线
99.71,1,基线
99.59,1,基线
100.96,1,基线
99.90,1,基线
98.06,1,基线
100.45,1,基线
100.72,1,基线
100.44,1,基线
100.54,2,基线
99.63,2,基线
99.54,2,基线
99.50,2,基线
98.19,2,基线
101.42,2,基线
99.62,2,基线
99.21,2,基线
99.66,2,基线
99.60,2,基线
99.13,2,基线
99.72,2,基线
101.09,2,基线
100.27,2,基线
100.18,2,基线
99.48,3,腔3偏低
98.97,3,腔3偏低
99.00,3,腔3偏低
97.46,3,腔3偏低
98.06,3,腔3偏低
96.39,3,腔3偏低
96.48,3,腔3偏低
98.95,3,腔3偏低
97.76,3,腔3偏低
99.32,3,腔3偏低
96.83,3,腔3偏低
98.01,3,腔3偏低
96.58,3,腔3偏低
98.30,3,腔3偏低
97.22,3,腔3偏低
