序号,失败,偏移_um,备注
1,1,9.85,高偏移易失败
2,0,0.85,低偏移
3,1,11.65,高偏移易失败
4,0,6.63,低偏移
5,0,2.72,低偏移
6,0,3.70,低偏移
7,0,7.41,低偏移
8,1,8.37,高偏移易失败
9,1,10.22,高偏移易失败
10,1,7.29,低偏移
11,0,3.71,低偏移
12,1,9.32,高偏移易失败
13,0,3.11,低偏移
14,0,11.10,高偏移易失败
15,1,9.44,高偏移易失败
16,1,6.91,低偏移
17,0,2.55,低偏移
18,0,0.65,低偏移
19,1,8.77,高偏移易失败
20,0,0.26,低偏移
21,1,6.93,低偏移
22,1,8.18,高偏移易失败
23,1,7.42,低偏移
24,0,3.76,低偏移
25,1,10.86,高偏移易失败
26,0,4.14,低偏移
27,1,9.59,高偏移易失败
28,0,6.83,低偏移
29,0,1.36,低偏移
30,0,2.05,低偏移
31,0,0.92,低偏移
32,1,7.55,低偏移
33,1,11.99,高偏移易失败
34,1,7.59,低偏移
35,1,11.10,高偏移易失败
36,1,8.51,高偏移易失败
37,1,7.23,低偏移
38,1,10.35,高偏移易失败
39,0,2.40,低偏移
40,1,6.05,低偏移
41,0,3.35,低偏移
42,0,2.92,低偏移
43,0,2.32,低偏移
44,1,11.79,高偏移易失败
45,0,5.13,低偏移
46,1,7.67,低偏移
47,0,2.72,低偏移
48,1,6.37,低偏移
49,0,4.68,低偏移
50,0,2.16,低偏移
