片号,厚度_um,备注
1,50.27,基线
2,49.88,基线
3,50.10,基线
4,49.80,基线
5,49.76,基线
6,50.03,基线
7,49.89,基线
8,49.97,基线
9,49.77,基线
10,50.13,基线
11,50.53,基线
12,50.14,基线
13,50.15,基线
14,49.91,基线
15,49.75,基线
16,49.73,基线
17,49.64,基线
18,50.18,基线
19,49.87,基线
20,49.79,基线
21,49.77,基线
22,50.27,基线
23,50.69,基线
24,49.97,基线
25,50.06,基线
26,49.67,基线
27,50.70,基线
28,49.55,基线
29,50.15,基线
30,50.47,小漂移
31,50.42,小漂移
32,50.71,小漂移
33,50.04,小漂移
34,50.78,小漂移
35,50.33,小漂移
36,50.61,小漂移
37,50.68,小漂移
38,50.74,小漂移
39,50.93,小漂移
40,49.94,小漂移
41,50.62,小漂移
42,50.58,小漂移
43,50.58,小漂移
44,50.76,小漂移
45,50.40,小漂移
46,50.65,小漂移
47,50.27,小漂移
48,50.63,小漂移
49,50.36,小漂移
50,50.33,小漂移
51,50.51,小漂移
52,50.60,小漂移
53,50.90,小漂移
54,50.49,小漂移
55,50.78,小漂移
