片号,长度_mm,宽度_mm
1,9.990,5.044
2,9.978,4.995
3,9.875,4.999
4,9.944,4.981
5,10.014,4.958
6,9.985,5.075
7,10.052,5.073
8,10.047,4.966
9,9.982,4.998
10,10.040,5.061
11,9.991,4.945
12,10.052,5.049
13,10.101,4.995
14,9.973,4.963
15,9.974,5.011
16,10.127,5.027
17,9.960,5.024
18,9.858,5.011
19,10.066,4.969
20,10.013,4.952
21,9.947,4.943
22,9.992,4.989
23,9.935,5.011
24,9.945,4.918
25,10.011,4.959
26,9.914,5.009
27,10.002,4.962
28,9.965,5.049
29,9.946,5.018
30,10.052,4.983
31,9.991,5.003
32,10.050,4.959
33,9.984,4.994
34,10.052,5.032
35,10.013,5.084
36,9.933,4.980
37,10.056,5.003
38,10.066,5.069
39,9.935,5.049
40,9.986,5.025
41,10.098,4.993
42,10.043,4.956
43,10.118,4.991
44,10.038,5.023
45,10.100,5.033
46,9.941,5.016
47,10.045,5.030
48,10.071,4.978
49,10.034,5.033
50,10.050,4.943
