组分A,组分B,组分C,备注
1.00,0.00,0.00,顶点A
0.00,1.00,0.00,顶点B
0.00,0.00,1.00,顶点C
0.50,0.50,0.00,边AB
0.50,0.00,0.50,边AC
0.00,0.50,0.50,边BC
0.70,0.15,0.15,近A
0.15,0.70,0.15,近B
0.15,0.15,0.70,近C
0.33,0.33,0.34,中心
0.25,0.04,0.71,内部扰动
0.45,0.48,0.06,内部扰动
0.25,0.20,0.55,内部扰动
0.10,0.42,0.48,内部扰动
0.07,0.86,0.07,内部扰动
0.61,0.39,0.00,内部扰动
0.16,0.47,0.37,内部扰动
0.64,0.09,0.27,内部扰动
0.55,0.41,0.04,内部扰动
0.96,0.01,0.03,内部扰动
0.60,0.31,0.10,内部扰动
0.21,0.05,0.74,内部扰动
0.90,0.09,0.02,内部扰动
0.65,0.21,0.14,内部扰动
0.64,0.35,0.01,内部扰动
0.95,0.00,0.05,内部扰动
0.31,0.48,0.20,内部扰动
0.54,0.31,0.14,内部扰动
0.10,0.08,0.81,内部扰动
0.61,0.03,0.36,内部扰动
