厚度_um,供应商,备注
97.57,A,基线
98.96,A,基线
98.18,A,基线
100.90,A,基线
100.19,A,基线
100.51,A,基线
99.88,A,基线
100.16,A,基线
99.04,A,基线
100.33,A,基线
98.12,A,基线
98.98,A,基线
100.49,A,基线
100.51,A,基线
98.59,A,基线
99.98,A,基线
100.39,A,基线
101.15,A,基线
100.17,A,基线
100.89,A,基线
102.81,B,B中位高
103.26,B,B中位高
100.83,B,B中位高
102.56,B,B中位高
102.46,B,B中位高
100.38,B,B中位高
102.91,B,B中位高
102.51,B,B中位高
101.78,B,B中位高
102.54,B,B中位高
103.70,B,B中位高
102.47,B,B中位高
104.29,B,B中位高
101.87,B,B中位高
102.71,B,B中位高
102.29,B,B中位高
103.64,B,B中位高
101.23,B,B中位高
104.16,B,B中位高
103.02,B,B中位高
