零件号,操作员,测量值_um,重复次
P01,A,99.56,1
P01,A,99.36,2
P01,A,99.57,3
P01,B,101.21,1
P01,B,101.21,2
P01,B,100.51,3
P01,C,98.46,1
P01,C,99.34,2
P01,C,98.34,3
P02,A,100.67,1
P02,A,100.21,2
P02,A,100.24,3
P02,B,101.93,1
P02,B,102.19,2
P02,B,102.09,3
P02,C,100.33,1
P02,C,100.30,2
P02,C,100.13,3
P03,A,101.50,1
P03,A,101.92,2
P03,A,101.57,3
P03,B,103.88,1
P03,B,103.61,2
P03,B,102.93,3
P03,C,102.18,1
P03,C,101.71,2
P03,C,102.17,3
P04,A,103.10,1
P04,A,102.33,2
P04,A,103.11,3
P04,B,104.86,1
P04,B,104.02,2
P04,B,104.65,3
P04,C,102.46,1
P04,C,103.29,2
P04,C,103.13,3
P05,A,103.07,1
P05,A,103.79,2
P05,A,104.21,3
P05,B,105.80,1
P05,B,105.40,2
P05,B,106.38,3
P05,C,102.98,1
P05,C,104.57,2
P05,C,104.46,3
P06,A,105.24,1
P06,A,105.80,2
P06,A,104.29,3
P06,B,106.86,1
P06,B,107.19,2
P06,B,106.87,3
P06,C,104.99,1
P06,C,105.06,2
P06,C,104.81,3
P07,A,106.61,1
P07,A,106.96,2
P07,A,106.47,3
P07,B,107.88,1
P07,B,107.91,2
P07,B,108.08,3
P07,C,106.35,1
P07,C,106.39,2
P07,C,105.76,3
P08,A,108.26,1
P08,A,106.81,2
P08,A,107.54,3
P08,B,109.72,1
P08,B,109.57,2
P08,B,109.53,3
P08,C,107.08,1
P08,C,107.92,2
P08,C,107.60,3
P09,A,108.30,1
P09,A,108.82,2
P09,A,109.09,3
P09,B,110.49,1
P09,B,110.91,2
P09,B,110.35,3
P09,C,109.96,1
P09,C,108.37,2
P09,C,109.24,3
P10,A,110.71,1
P10,A,110.31,2
P10,A,110.26,3
P10,B,112.36,1
P10,B,111.68,2
P10,B,112.04,3
P10,C,110.01,1
P10,C,110.89,2
P10,C,109.93,3
