零件号,操作员,工装,测量值_um
P01,A,F1,100.85
P01,A,F1,100.23
P01,A,F1,100.58
P01,A,F2,101.30
P01,A,F2,99.16
P01,A,F2,97.49
P01,B,F1,100.10
P01,B,F1,101.14
P01,B,F1,101.28
P01,B,F2,101.19
P01,B,F2,101.29
P01,B,F2,102.36
P02,A,F1,101.00
P02,A,F1,101.09
P02,A,F1,100.80
P02,A,F2,101.19
P02,A,F2,101.26
P02,A,F2,102.25
P02,B,F1,100.98
P02,B,F1,101.74
P02,B,F1,101.57
P02,B,F2,101.23
P02,B,F2,101.61
P02,B,F2,102.67
P03,A,F1,101.62
P03,A,F1,102.54
P03,A,F1,102.38
P03,A,F2,102.83
P03,A,F2,104.66
P03,A,F2,100.71
P03,B,F1,102.41
P03,B,F1,102.29
P03,B,F1,102.38
P03,B,F2,103.27
P03,B,F2,103.02
P03,B,F2,102.03
P04,A,F1,103.40
P04,A,F1,103.40
P04,A,F1,103.27
P04,A,F2,102.30
P04,A,F2,104.40
P04,A,F2,103.07
P04,B,F1,103.05
P04,B,F1,102.99
P04,B,F1,102.99
P04,B,F2,105.91
P04,B,F2,104.24
P04,B,F2,103.18
P05,A,F1,103.92
P05,A,F1,104.11
P05,A,F1,104.13
P05,A,F2,105.30
P05,A,F2,102.19
P05,A,F2,103.76
P05,B,F1,103.86
P05,B,F1,104.19
P05,B,F1,103.65
P05,B,F2,103.56
P05,B,F2,101.88
P05,B,F2,107.11
P06,A,F1,104.74
P06,A,F1,104.76
P06,A,F1,105.82
P06,A,F2,103.81
P06,A,F2,101.79
P06,A,F2,107.29
P06,B,F1,105.51
P06,B,F1,105.35
P06,B,F1,105.19
P06,B,F2,107.24
P06,B,F2,103.25
P06,B,F2,101.63
