零件号,操作员,测量值_um
N01,A,101.41
N01,A,101.12
N01,A,100.32
N02,A,101.00
N02,A,101.32
N02,A,100.54
N03,A,102.12
N03,A,101.19
N03,A,101.66
N04,A,101.55
N04,A,102.27
N04,A,102.59
N05,A,100.20
N05,A,99.85
N05,A,98.56
N06,A,100.06
N06,A,100.37
N06,A,100.91
N07,A,100.95
N07,A,101.43
N07,A,101.20
N08,B,101.38
N08,B,102.40
N08,B,102.10
N09,B,102.38
N09,B,102.71
N09,B,103.35
N10,B,100.10
N10,B,99.51
N10,B,100.47
N11,B,99.60
N11,B,100.72
N11,B,101.25
N12,B,101.49
N12,B,101.40
N12,B,100.84
N13,B,101.39
N13,B,101.98
N13,B,101.26
N14,B,103.48
N14,B,102.51
N14,B,103.21
N15,C,102.68
N15,C,100.77
N15,C,102.47
N16,C,101.97
N16,C,101.62
N16,C,101.05
N17,C,101.09
N17,C,102.50
N17,C,101.52
N18,C,99.93
N18,C,102.77
N18,C,102.09
N19,C,100.20
N19,C,103.63
N19,C,101.24
N20,C,98.59
N20,C,101.37
N20,C,96.38
