次序,测量值_um,备注
1,101.38,参考件重复
2,101.59,参考件重复
3,101.34,参考件重复
4,101.41,参考件重复
5,101.19,参考件重复
6,101.54,参考件重复
7,101.43,参考件重复
8,101.31,参考件重复
9,101.63,参考件重复
10,101.47,参考件重复
11,101.98,参考件重复
12,101.72,参考件重复
13,102.19,参考件重复
14,101.43,参考件重复
15,101.59,参考件重复
16,101.32,参考件重复
17,101.59,参考件重复
18,101.78,参考件重复
19,101.52,参考件重复
20,101.71,参考件重复
21,101.39,参考件重复
22,101.82,参考件重复
23,101.22,参考件重复
24,102.07,参考件重复
25,101.59,参考件重复
26,101.34,参考件重复
27,100.94,参考件重复
28,101.42,参考件重复
29,102.32,参考件重复
30,101.68,参考件重复
31,101.15,参考件重复
32,101.34,参考件重复
33,100.88,参考件重复
34,101.93,参考件重复
35,101.13,参考件重复
36,101.43,参考件重复
37,101.71,参考件重复
38,101.44,参考件重复
39,100.72,参考件重复
40,101.68,参考件重复
41,101.82,参考件重复
42,100.98,参考件重复
43,101.62,参考件重复
44,101.34,参考件重复
45,101.31,参考件重复
46,101.13,参考件重复
47,102.45,参考件重复
48,101.49,参考件重复
49,101.00,参考件重复
50,101.89,参考件重复
