厚度_um,腔位,时段,备注
98.64,左,早班,基线
101.03,左,早班,基线
99.94,左,早班,基线
99.80,左,早班,基线
99.67,左,早班,基线
99.87,左,早班,基线
101.07,左,早班,基线
100.32,左,早班,基线
100.73,中,早班,基线
99.94,中,早班,基线
99.79,中,早班,基线
99.75,中,早班,基线
100.42,中,早班,基线
100.27,中,早班,基线
100.94,中,早班,基线
100.44,中,早班,基线
100.36,右,早班,基线
100.57,右,早班,基线
100.37,右,早班,基线
100.13,右,早班,基线
99.61,右,早班,基线
100.60,右,早班,基线
99.79,右,早班,基线
100.73,右,早班,基线
101.52,左,晚班,晚班抬高
101.58,左,晚班,晚班抬高
101.54,左,晚班,晚班抬高
101.70,左,晚班,晚班抬高
101.19,左,晚班,晚班抬高
100.89,左,晚班,晚班抬高
102.93,左,晚班,晚班抬高
101.32,左,晚班,晚班抬高
100.58,中,晚班,晚班抬高
101.03,中,晚班,晚班抬高
101.52,中,晚班,晚班抬高
100.96,中,晚班,晚班抬高
101.97,中,晚班,晚班抬高
101.86,中,晚班,晚班抬高
101.74,中,晚班,晚班抬高
103.07,中,晚班,晚班抬高
102.70,右,晚班,晚班抬高
101.15,右,晚班,晚班抬高
101.41,右,晚班,晚班抬高
101.84,右,晚班,晚班抬高
100.80,右,晚班,晚班抬高
102.81,右,晚班,晚班抬高
101.89,右,晚班,晚班抬高
103.03,右,晚班,晚班抬高
