片号,厚度_um,备注
1,102.40,轻度右偏
2,108.05,轻度右偏
3,128.14,轻度右偏
4,99.90,轻度右偏
5,100.70,轻度右偏
6,112.42,轻度右偏
7,82.41,轻度右偏
8,93.97,轻度右偏
9,92.26,轻度右偏
10,91.44,轻度右偏
11,110.48,轻度右偏
12,108.24,轻度右偏
13,113.37,轻度右偏
14,101.82,轻度右偏
15,99.11,轻度右偏
16,112.53,轻度右偏
17,81.99,轻度右偏
18,130.27,轻度右偏
19,78.93,轻度右偏
20,97.06,轻度右偏
21,103.04,轻度右偏
22,116.72,轻度右偏
23,69.96,轻度右偏
24,131.06,轻度右偏
25,92.81,轻度右偏
26,92.32,轻度右偏
27,119.54,轻度右偏
28,105.93,轻度右偏
29,84.40,轻度右偏
30,85.74,轻度右偏
31,123.87,轻度右偏
32,94.68,轻度右偏
33,107.07,轻度右偏
34,101.59,轻度右偏
35,76.20,轻度右偏
36,104.32,轻度右偏
37,91.18,轻度右偏
38,100.42,轻度右偏
39,113.72,轻度右偏
40,107.76,轻度右偏
41,87.49,轻度右偏
42,87.48,轻度右偏
43,87.30,轻度右偏
44,121.66,轻度右偏
45,106.88,轻度右偏
46,87.64,轻度右偏
47,112.63,轻度右偏
48,139.76,右尾
49,135.49,右尾
50,137.88,右尾
