返工前扭矩_Nm,返工后扭矩_Nm,工件号,缺陷类型
1.138,1.125,W1001,虚焊
1.190,1.251,W1002,偏移
1.169,1.162,W1003,少锡
1.122,1.086,W1004,虚焊
1.213,1.226,W1005,偏移
1.272,1.251,W1006,少锡
1.144,1.142,W1007,虚焊
1.226,1.226,W1008,偏移
1.165,1.190,W1009,少锡
1.204,1.212,W1010,虚焊
1.264,1.268,W1011,偏移
1.214,1.280,W1012,少锡
1.212,1.180,W1013,虚焊
1.206,1.245,W1014,偏移
1.206,1.207,W1015,少锡
1.260,1.219,W1016,虚焊
1.114,1.106,W1017,偏移
1.211,1.167,W1018,少锡
1.244,1.248,W1019,虚焊
1.150,1.151,W1020,偏移
1.190,1.111,W1021,少锡
1.223,1.201,W1022,虚焊
1.163,1.164,W1023,偏移
1.224,1.181,W1024,少锡
1.220,1.241,W1025,虚焊
1.164,1.160,W1026,偏移
1.200,1.271,W1027,少锡
1.107,1.115,W1028,虚焊
1.185,1.161,W1029,偏移
1.295,1.275,W1030,少锡
1.312,1.274,W1031,虚焊
1.218,1.178,W1032,偏移
1.165,1.148,W1033,少锡
1.186,1.174,W1034,虚焊
1.095,1.155,W1035,偏移
1.192,1.241,W1036,少锡
1.150,1.141,W1037,虚焊
1.358,1.303,W1038,偏移
1.125,1.083,W1039,少锡
1.224,1.231,W1040,虚焊
