缺陷类别,备注
虚焊,缺陷记录
虚焊,缺陷记录
虚焊,缺陷记录
虚焊,缺陷记录
偏移,缺陷记录
虚焊,缺陷记录
少锡,缺陷记录
虚焊,缺陷记录
偏移,缺陷记录
虚焊,缺陷记录
虚焊,缺陷记录
偏移,缺陷记录
少锡,缺陷记录
偏移,缺陷记录
偏移,缺陷记录
偏移,缺陷记录
偏移,缺陷记录
虚焊,缺陷记录
虚焊,缺陷记录
其他,缺陷记录
桥连,缺陷记录
虚焊,缺陷记录
桥连,缺陷记录
虚焊,缺陷记录
虚焊,缺陷记录
偏移,缺陷记录
虚焊,缺陷记录
虚焊,缺陷记录
虚焊,缺陷记录
虚焊,缺陷记录
其他,缺陷记录
虚焊,缺陷记录
偏移,缺陷记录
偏移,缺陷记录
少锡,缺陷记录
虚焊,缺陷记录
桥连,缺陷记录
多锡,缺陷记录
少锡,缺陷记录
虚焊,缺陷记录
桥连,缺陷记录
偏移,缺陷记录
虚焊,缺陷记录
多锡,缺陷记录
桥连,缺陷记录
偏移,缺陷记录
偏移,缺陷记录
多锡,缺陷记录
虚焊,缺陷记录
虚焊,缺陷记录
虚焊,缺陷记录
其他,缺陷记录
虚焊,缺陷记录
虚焊,缺陷记录
偏移,缺陷记录
虚焊,缺陷记录
少锡,缺陷记录
虚焊,缺陷记录
虚焊,缺陷记录
虚焊,缺陷记录
偏移,缺陷记录
虚焊,缺陷记录
少锡,缺陷记录
虚焊,缺陷记录
虚焊,缺陷记录
虚焊,缺陷记录
偏移,缺陷记录
其他,缺陷记录
偏移,缺陷记录
桥连,缺陷记录
多锡,缺陷记录
桥连,缺陷记录
虚焊,缺陷记录
偏移,缺陷记录
虚焊,缺陷记录
多锡,缺陷记录
偏移,缺陷记录
偏移,缺陷记录
虚焊,缺陷记录
其他,缺陷记录
少锡,缺陷记录
少锡,缺陷记录
偏移,缺陷记录
虚焊,缺陷记录
偏移,缺陷记录
其他,缺陷记录
虚焊,缺陷记录
多锡,缺陷记录
偏移,缺陷记录
其他,缺陷记录
桥连,缺陷记录
虚焊,缺陷记录
虚焊,缺陷记录
虚焊,缺陷记录
其他,缺陷记录
偏移,缺陷记录
桥连,缺陷记录
偏移,缺陷记录
偏移,缺陷记录
桥连,缺陷记录
偏移,缺陷记录
虚焊,缺陷记录
桥连,缺陷记录
桥连,缺陷记录
偏移,缺陷记录
少锡,缺陷记录
其他,缺陷记录
虚焊,缺陷记录
桥连,缺陷记录
多锡,缺陷记录
桥连,缺陷记录
偏移,缺陷记录
桥连,缺陷记录
其他,缺陷记录
虚焊,缺陷记录
虚焊,缺陷记录
虚焊,缺陷记录
少锡,缺陷记录
虚焊,缺陷记录
偏移,缺陷记录
