指标X,指标Y,指标Z,备注
-0.95,-0.66,-0.91,共线
-0.87,-0.79,-1.01,共线
-0.88,-0.54,-0.54,共线
1.76,1.53,1.52,共线
-1.10,-1.15,-0.87,共线
1.08,1.14,1.00,共线
-2.09,-2.17,-2.10,共线
-0.22,-0.46,-0.36,共线
-1.49,-1.66,-1.71,共线
0.84,0.84,0.88,共线
1.72,1.26,1.62,共线
-1.36,-1.46,-1.18,共线
-0.90,-0.73,-0.77,共线
0.15,0.12,0.18,共线
1.90,2.23,2.19,共线
-1.73,-1.64,-1.50,共线
2.16,2.05,2.13,共线
0.25,0.24,0.40,共线
0.64,0.48,0.71,共线
0.51,0.60,0.42,共线
-0.34,-0.52,-0.30,共线
-0.61,-0.54,-0.85,共线
-0.12,0.01,-0.24,共线
-0.32,-0.22,-0.08,共线
0.26,-0.03,-0.09,共线
-0.74,-0.50,-0.79,共线
0.30,0.21,0.15,共线
0.75,0.85,0.70,共线
0.83,1.03,0.70,共线
0.52,0.80,0.67,共线
1.83,1.46,1.66,共线
1.23,1.28,1.59,共线
-0.53,-0.22,-0.50,共线
1.30,0.87,1.02,共线
-1.71,-1.70,0.21,离群
0.86,1.12,2.91,离群
1.87,1.61,3.76,离群
-0.92,-0.87,1.08,离群
0.10,-0.31,1.91,离群
0.05,-0.06,1.53,离群
