批号,A不合格数,A检验数,B不合格数,B检验数,备注
1,1,100,17,120,B比例高
2,1,100,11,100,B比例高
3,1,100,7,100,B比例高
4,7,120,7,100,B比例高
5,6,100,10,100,B比例高
6,2,120,13,120,B比例高
7,4,100,10,120,B比例高
8,3,100,10,100,B比例高
9,6,120,14,120,B比例高
10,2,120,3,120,B比例高
11,3,120,13,120,B比例高
12,2,100,9,120,B比例高
13,4,120,8,100,B比例高
14,3,120,10,120,B比例高
15,1,100,8,100,B比例高
16,7,100,12,100,B比例高
17,3,120,15,120,B比例高
18,7,120,8,120,B比例高
19,3,100,8,120,B比例高
20,2,120,14,120,B比例高
21,1,100,7,120,B比例高
22,9,120,11,120,B比例高
23,3,100,7,100,B比例高
24,2,120,15,120,B比例高
