序号,剪切强度_N,固化温度_C,备注
1,48.35,184.9,正斜率
2,41.45,152.6,正斜率
3,45.07,161.3,正斜率
4,43.57,157.5,正斜率
5,46.15,171.8,正斜率
6,42.89,159.3,正斜率
7,44.44,158.2,正斜率
8,46.37,183.9,正斜率
9,43.29,168.9,正斜率
10,45.55,185.7,正斜率
11,45.65,168.1,正斜率
12,45.86,180.2,正斜率
13,48.09,182.1,正斜率
14,44.59,181.1,正斜率
15,48.85,188.3,正斜率
16,41.35,155.2,正斜率
17,43.59,159.1,正斜率
18,38.97,151.0,正斜率
19,43.88,161.1,正斜率
20,44.02,170.6,正斜率
21,46.47,184.9,正斜率
22,46.14,176.4,正斜率
23,42.60,150.5,正斜率
24,50.09,176.6,正斜率
25,48.71,181.3,正斜率
26,45.79,157.1,正斜率
27,43.80,155.3,正斜率
28,47.84,185.8,正斜率
29,46.73,181.5,正斜率
30,42.84,155.8,正斜率
31,43.66,180.0,正斜率
32,50.40,184.6,正斜率
33,43.05,167.5,正斜率
34,43.17,160.3,正斜率
35,44.93,171.9,正斜率
36,42.07,158.6,正斜率
37,49.92,186.8,正斜率
38,43.78,159.5,残差稍大
39,43.71,168.8,残差稍大
40,46.33,173.5,残差稍大
