循环次数,失效状态,应力_V,单元号,失效模式,事件时间_小时
11840,1,240,U001,短路,118.4
9298,1,240,U002,短路,93.0
8785,1,220,U003,短路,87.8
9537,1,220,U004,短路,95.4
10302,1,260,U005,短路,103.0
8614,1,260,U006,短路,86.1
12425,0,220,U007,—,124.2
12068,0,240,U008,—,120.7
10724,1,260,U009,短路,107.2
13762,0,220,U010,—,137.6
8974,1,240,U011,短路,89.7
9479,1,220,U012,短路,94.8
10291,1,260,U013,短路,102.9
8339,1,240,U014,短路,83.4
10818,1,220,U015,短路,108.2
16652,0,260,U016,—,166.5
14085,0,260,U017,—,140.8
8524,1,240,U018,短路,85.2
10960,1,220,U019,短路,109.6
10154,1,240,U020,短路,101.5
8811,1,240,U021,短路,88.1
9272,1,220,U022,短路,92.7
8563,1,240,U023,短路,85.6
9936,1,220,U024,短路,99.4
10981,1,220,U025,短路,109.8
8165,1,260,U026,短路,81.7
13400,0,220,U027,—,134.0
8467,1,240,U028,短路,84.7
8778,1,220,U029,短路,87.8
10996,1,240,U030,短路,110.0
8767,1,260,U031,短路,87.7
9435,1,260,U032,短路,94.3
9258,1,240,U033,短路,92.6
21824,0,260,U034,—,218.2
10722,1,240,U035,短路,107.2
11221,1,220,U036,短路,112.2
8313,1,260,U037,短路,83.1
11346,1,220,U038,短路,113.5
11440,1,240,U039,短路,114.4
9222,1,220,U040,短路,92.2
8234,1,260,U041,短路,82.3
9975,1,220,U042,短路,99.8
10702,1,260,U043,短路,107.0
8299,1,240,U044,短路,83.0
11882,1,240,U045,短路,118.8
