片号,厚度_um,备注
1,100.20,基线
2,100.29,基线
3,100.51,基线
4,100.06,基线
5,99.57,基线
6,99.97,基线
7,99.65,基线
8,100.50,基线
9,100.09,基线
10,100.44,基线
11,99.47,基线
12,99.82,基线
13,100.25,基线
14,99.13,基线
15,99.72,基线
16,99.40,基线
17,99.76,基线
18,100.81,基线
19,99.96,基线
20,99.57,基线
21,100.14,基线
22,100.53,基线
23,99.75,基线
24,100.39,基线
25,99.69,基线
26,100.37,基线
27,100.59,基线
28,100.64,同侧游程
29,100.68,同侧游程
30,100.64,同侧游程
31,100.69,同侧游程
32,100.89,同侧游程
33,100.75,同侧游程
34,100.64,同侧游程
35,100.66,同侧游程
36,100.65,同侧游程
37,100.77,同侧游程
38,100.82,同侧游程
39,100.64,同侧游程
40,100.69,同侧游程
41,100.24,基线
42,99.37,基线
43,99.67,基线
44,99.51,基线
45,100.49,基线
46,99.52,基线
47,98.38,基线
48,100.98,基线
49,99.64,基线
50,99.89,基线
