片号,厚度_um,备注
1,99.91,基线
2,99.20,基线
3,100.28,基线
4,100.32,基线
5,99.29,基线
6,99.80,基线
7,101.03,基线
8,99.22,基线
9,99.61,基线
10,100.81,基线
11,99.70,基线
12,100.16,基线
13,100.38,基线
14,100.08,基线
15,99.98,基线
16,99.82,基线
17,99.65,基线
18,100.20,基线
19,100.06,基线
20,100.83,同侧游程
21,100.89,同侧游程
22,100.96,同侧游程
23,100.88,同侧游程
24,100.86,同侧游程
25,100.80,同侧游程
26,101.31,同侧游程
27,100.87,同侧游程
28,100.80,同侧游程
29,100.81,同侧游程
30,100.86,同侧游程
31,100.83,同侧游程
32,100.96,同侧游程
33,100.86,同侧游程
34,100.94,同侧游程
35,100.89,同侧游程
36,100.37,基线
37,100.96,基线
38,101.00,基线
39,99.72,基线
40,99.90,基线
41,100.25,基线
42,101.18,基线
43,100.21,基线
44,99.73,基线
45,99.96,基线
46,100.06,基线
47,100.31,基线
48,99.76,基线
49,100.49,基线
50,100.43,基线
