锡膏高度_um,产线,班次,检测时间,钢网编号
117.7,A,早班,2026-01-06 08:00:00,ST01
118.4,B,中班,2026-01-06 08:12:00,ST02
117.8,A,晚班,2026-01-06 08:24:00,ST03
120.3,B,早班,2026-01-06 08:36:00,ST04
117.7,A,中班,2026-01-06 08:48:00,ST01
115.5,B,晚班,2026-01-06 09:00:00,ST02
118.7,A,早班,2026-01-06 09:12:00,ST03
118.2,B,中班,2026-01-06 09:24:00,ST04
117.5,A,晚班,2026-01-06 09:36:00,ST01
119.1,B,早班,2026-01-06 09:48:00,ST02
118.5,A,中班,2026-01-06 10:00:00,ST03
121.4,B,晚班,2026-01-06 10:12:00,ST04
119.4,A,早班,2026-01-06 10:24:00,ST01
119.0,B,中班,2026-01-06 10:36:00,ST02
116.4,A,晚班,2026-01-06 10:48:00,ST03
116.6,B,早班,2026-01-06 11:00:00,ST04
118.5,A,中班,2026-01-06 11:12:00,ST01
121.7,B,晚班,2026-01-06 11:24:00,ST02
118.1,A,早班,2026-01-06 11:36:00,ST03
118.6,B,中班,2026-01-06 11:48:00,ST04
119.2,A,晚班,2026-01-06 12:00:00,ST01
115.6,B,早班,2026-01-06 12:12:00,ST02
117.3,A,中班,2026-01-06 12:24:00,ST03
119.9,B,晚班,2026-01-06 12:36:00,ST04
119.9,A,早班,2026-01-06 12:48:00,ST01
118.3,B,中班,2026-01-06 13:00:00,ST02
118.8,A,晚班,2026-01-06 13:12:00,ST03
119.3,B,早班,2026-01-06 13:24:00,ST04
119.7,A,中班,2026-01-06 13:36:00,ST01
116.4,B,晚班,2026-01-06 13:48:00,ST02
119.3,A,早班,2026-01-06 14:00:00,ST03
115.5,B,中班,2026-01-06 14:12:00,ST04
112.2,A,晚班,2026-01-06 14:24:00,ST01
117.5,B,早班,2026-01-06 14:36:00,ST02
116.0,A,中班,2026-01-06 14:48:00,ST03
120.7,B,晚班,2026-01-06 15:00:00,ST04
119.5,A,早班,2026-01-06 15:12:00,ST01
116.1,B,中班,2026-01-06 15:24:00,ST02
119.9,A,晚班,2026-01-06 15:36:00,ST03
116.6,B,早班,2026-01-06 15:48:00,ST04
117.8,A,中班,2026-01-06 16:00:00,ST01
118.2,B,晚班,2026-01-06 16:12:00,ST02
118.3,A,早班,2026-01-06 16:24:00,ST03
120.6,B,中班,2026-01-06 16:36:00,ST04
119.4,A,晚班,2026-01-06 16:48:00,ST01
119.6,B,早班,2026-01-06 17:00:00,ST02
119.4,A,中班,2026-01-06 17:12:00,ST03
119.9,B,晚班,2026-01-06 17:24:00,ST04
116.6,A,早班,2026-01-06 17:36:00,ST01
117.2,B,中班,2026-01-06 17:48:00,ST02
117.0,A,晚班,2026-01-06 18:00:00,ST03
119.9,B,早班,2026-01-06 18:12:00,ST04
117.4,A,中班,2026-01-06 18:24:00,ST01
123.9,B,晚班,2026-01-06 18:36:00,ST02
116.2,A,早班,2026-01-06 18:48:00,ST03
116.4,B,中班,2026-01-06 19:00:00,ST04
119.7,A,晚班,2026-01-06 19:12:00,ST01
121.9,B,早班,2026-01-06 19:24:00,ST02
119.1,A,中班,2026-01-06 19:36:00,ST03
120.6,B,晚班,2026-01-06 19:48:00,ST04
121.1,A,早班,2026-01-06 20:00:00,ST01
118.6,B,中班,2026-01-06 20:12:00,ST02
114.9,A,晚班,2026-01-06 20:24:00,ST03
117.6,B,早班,2026-01-06 20:36:00,ST04
120.1,A,中班,2026-01-06 20:48:00,ST01
115.6,B,晚班,2026-01-06 21:00:00,ST02
118.1,A,早班,2026-01-06 21:12:00,ST03
119.4,B,中班,2026-01-06 21:24:00,ST04
117.3,A,晚班,2026-01-06 21:36:00,ST01
120.4,B,早班,2026-01-06 21:48:00,ST02
119.3,A,中班,2026-01-06 22:00:00,ST03
123.9,B,晚班,2026-01-06 22:12:00,ST04
119.4,A,早班,2026-01-06 22:24:00,ST01
117.5,B,中班,2026-01-06 22:36:00,ST02
116.8,A,晚班,2026-01-06 22:48:00,ST03
117.0,B,早班,2026-01-06 23:00:00,ST04
120.1,A,中班,2026-01-06 23:12:00,ST01
117.6,B,晚班,2026-01-06 23:24:00,ST02
117.8,A,早班,2026-01-06 23:36:00,ST03
120.4,B,中班,2026-01-06 23:48:00,ST04
