片号,厚度_um,备注
1,100.33,基线
2,100.44,基线
3,100.31,基线
4,100.55,基线
5,99.69,基线
6,99.75,基线
7,99.62,基线
8,99.65,基线
9,100.47,基线
10,100.13,基线
11,99.65,基线
12,99.67,基线
13,100.47,基线
14,99.55,基线
15,99.79,基线
16,100.20,基线
17,100.51,基线
18,100.53,基线
19,99.80,基线
20,99.49,基线
21,99.56,基线
22,100.17,基线
23,100.09,基线
24,100.48,基线
25,100.34,基线
26,100.44,基线
27,99.59,基线
28,99.57,基线
29,100.00,基线
30,100.18,基线
31,100.50,小漂移
32,101.33,小漂移
33,100.14,小漂移
34,100.76,小漂移
35,100.43,小漂移
36,100.97,小漂移
37,101.00,小漂移
38,100.67,小漂移
39,100.94,小漂移
40,101.31,小漂移
41,100.51,小漂移
42,100.49,小漂移
43,100.40,小漂移
44,100.65,小漂移
45,100.39,小漂移
46,100.07,小漂移
47,101.06,小漂移
48,100.29,小漂移
49,99.85,小漂移
50,100.98,小漂移
51,100.27,小漂移
52,100.98,小漂移
53,101.21,小漂移
54,100.35,小漂移
55,100.29,小漂移
56,101.22,小漂移
57,100.08,小漂移
58,100.28,小漂移
59,100.45,小漂移
60,100.45,小漂移
